experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,DBLP,1841155,64,0.0001,182,11,0.8,add,0.01,123,5,262144,20,20,12,0.176470588,0.206896552,3,0,2.25,0,276.8374023,3.275003605,0.004182906,0,3.04E-06,2.600180438,4.276000431,1.051271096,3.364434162,21,236.2514725,80,0.248391762,13.38589151
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,2,89,0.75,0.75,22.25,0,0,0,800.3050995,355.3860743,0.2301261,0,1.50E-05,4.141903073,15663539.89,1.051271096,374.1809019,89,918.5010681,80,0.529424594,700.0125007
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,2,90,0.75,0.75,22.5,0,0,0,1040.766525,394.4325738,0.446871654,0,1.38E-05,4.133468313,62789764.75,1.051271096,408.8673206,90,1110.475998,80,0.574302416,773.29439
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,2,90,0.75,0.748407643,22.25,0.25,0,0,1275.436516,406.4699148,0.726545483,0,1.21E-05,4.114702301,141082797.7,1.051271096,404.8453658,89,1190.32106,80,0.447526151,798.3489751
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,2,89,0.746835443,0.748407643,22.25,0,0.25,0,1505.040627,437.6862309,0.830180637,0,1.35E-05,4.584672579,250589559.8,1.051271096,435.510008,90,1431.075035,80,0.512976232,863.5059245
SCALE,DBLP,1841155,64,1,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2,89,0.75,0.75,22.25,0,0,0,1680.456467,463.6448917,1.011020554,0,1.34E-05,8.564550745,391691758.6,1.051271096,455.7864614,89,1682.563255,80,0.495191956,893.2530183
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2,90,0.75,0.748407643,22.25,0.25,0,0,1679.117119,457.3906544,1.107340103,0,1.15E-05,7.711840817,391691758.6,1.051271096,455.983087,89,1605.354225,80,0.570695677,898.4041788
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,2,89,0.75,0.75,22.25,0,0,0,2006.199547,466.1464976,6.943927659,0,1.38E-05,8.347539712,391685354.9,1.051271096,453.3058098,89,1629.836052,80,0.495585687,886.641543
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,2,89,0.746835443,0.748407643,22.25,0,0.25,0,2770.947227,501.746034,20.91263372,0,1.47E-05,17.43368649,391648975.8,1.051271096,483.8290791,90,1891.147453,80,0.517193075,938.3472055
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,2,90,0.75,0.748407643,22.25,0.25,0,0,3166.655846,514.3738593,27.58629203,0,1.36E-05,20.3187033,391572550.7,1.051271096,476.8171738,89,1984.78476,80,0.513437558,948.466609
