experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,DBLP,1841155,64,0.0001,182,11,0.8,add,0.01,123,5,262144,20,20,12,0.176470588,0.206896552,3,0,1.75,0,276.7994232,3.477399327,0.004098924,0,3.21E-06,3.205662832,4.276000431,1.051271096,3.347674889,19,237.0284958,80,0.260070488,13.66396834
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,2,89,0.75,0.75,22.25,0,0,0,801.9018784,370.4685253,0.250257742,0,1.29E-05,4.245672529,15663539.89,1.051271096,372.1304013,89,1022.713249,80,0.473480414,714.7333447
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,2,89,0.746835443,0.748407643,22.25,0,0.25,0,1064.362694,363.9045817,0.454581017,0,1.51E-05,6.212426959,62789764.75,1.051271096,406.5955949,90,1101.284416,80,0.480162355,695.4799247
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,2,89,0.746835443,0.748407643,22.25,0,0.25,0,1299.426407,396.4046589,0.647468138,0,1.19E-05,4.283285346,141082797.7,1.051271096,402.8012527,90,1224.895134,80,0.447936464,758.4437929
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,2,89,0.75,0.75,22.25,0,0,0,1465.38517,448.2346343,0.798673865,0,1.44E-05,4.644591741,250589559.8,1.051271096,436.5497527,89,1500.650589,80,0.523506971,866.4794821
SCALE,DBLP,1841155,64,1,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2,90,0.75,0.75,22.5,0,0,0,1680.607521,459.9727128,0.978586959,0,1.27E-05,4.860723443,391691758.6,1.051271096,462.402545,90,1640.263351,80,0.474055587,906.2078968
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2,89,0.746835443,0.748407643,22.25,0,0.25,0,1681.619637,463.4802366,1.057389647,0,1.44E-05,4.642906951,391691758.6,1.051271096,445.5660739,90,1623.40834,80,0.496073633,913.1175671
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,2,89,0.75,0.75,22.25,0,0,0,2018.003464,474.2758218,6.784914838,0,1.18E-05,8.124909895,391685354.9,1.051271096,451.5927463,89,1996.511368,80,0.472076046,915.2874025
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,2,89,0.75,0.75,22.25,0,0,0,2765.543701,518.1027566,20.5197336,0,1.70E-05,24.35022667,391648975.8,1.051271096,480.3570498,89,1885.016388,80,0.477531638,936.5787655
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,2,90,0.75,0.75,22.5,0,0,0,3027.345055,521.4637051,28.15363619,0,2.32E-05,21.67132377,391572550.7,1.051271096,484.8432181,90,2038.628143,80,0.490729848,956.5885472
ADD,DBLP,1841155,64,1,1841155,117296,0.8,add,0.3,1288807,552348,262144,20,2,90,0.75,0.748407643,22.25,0.25,0,0,3425.555283,549.5200776,43.45060795,0,1.25E-05,28.94132879,391681178.3,1.051271096,488.5435225,89,1954.732796,80,0.485608705,974.7755472
DELETE,DBLP,1841155,64,1,1841155,117296,0.8,delete,0.01,1841155,18412,262144,20,2,89,0.75,0.75,22.25,0,0,0,1541.253326,473.8671565,1.116458912,0,1.42E-05,8.530402946,799426078.4,1.051271096,486.8513389,89,1965.751648,80,0.467459903,930.6817339
