experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,DBLP,1841155,64,0.0001,182,11,0.8,add,0.01,123,5,262144,20,13.333333333333334,12,0.1764705882352941,0.2068965517241379,3.0,0.0,2.5,0.0,276.7684020996094,1.02607123923,0.0038689695179999995,0.001284535947,3.355677e-06,2.4628802787269994,4.276000431185666,1.051271096376024,3.2746435495229997,22,236.19078826904297,80,0.2395375129019998,1.635289270017
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,793.6588973999023,312.63960438535196,0.24100479017399998,0.0600331815899998,1.4893442999999998e-05,4.185279982193999,15663539.889194297,1.051271096376024,375.87560230721397,89,845.1809463500977,80,0.45820908204599997,614.0065026263999
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1027.7636108398438,314.045460988365,0.44853170777699997,0.0356252877419998,1.5279635999999997e-05,4.174101105549,62789764.74623502,1.051271096376024,410.856192825696,89,1086.228126525879,80,0.490916687676,619.3355653761749
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,1263.0026473999023,321.50389612625696,0.639330641568,0.036971938731,1.5667829999999998e-05,20.222834602119,141082797.70070168,1.051271096376024,410.60082960589494,89,1353.056671142578,80,0.487517312838,612.9504792585899
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1457.663719177246,312.308534086929,0.984188936544,0.036876154863,1.2144069e-05,15.075404097081,250589559.82906824,1.051271096376024,439.540433044329,89,1514.9817657470703,80,0.556454658285,597.769036222536
SCALE,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,90,0.75,0.75,22.5,0.0,0.0,0.0,1671.2597274780271,325.478077555923,0.980644303113,0.046182261590999994,1.4513252999999999e-05,15.100587328404,391691758.6114777,1.051271096376024,451.333179098643,90,1678.0241470336914,80,0.48780883652699975,610.05906817554
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,90,0.75,0.75,22.5,0.0,0.0,0.0,1673.7331924438477,336.78632166632997,1.240834201047,0.033517380315000005,1.4645318999999999e-05,4.7408757212340005,391691758.6114777,1.051271096376024,462.01728477378896,90,1694.6793670654297,80,0.483254500497,643.265258305206
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,2.6666666666666665,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,2038.077171325684,342.940498298871,7.06329356184,1.692199432878,1.4729360999999997e-05,16.909273249418998,391685354.8626983,1.051271096376024,472.15862822144396,90,1673.436408996582,80,0.485456468931,649.749504466035
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,3104.070816040039,358.25595442798493,20.916432429719997,0.032946719127,1.3872933e-05,15.967342601459999,391648975.8281252,1.051271096376024,495.655695445725,89,2025.7740783691409,80,0.570122114598,654.388033539519
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,3140.4129638671875,376.525096391964,27.105585667823995,0.252097881948,1.5725859e-05,23.293723395177,391572550.7481318,1.051271096376024,501.71238138327897,89,1967.5579452514648,80,0.48003591400799994,658.002504425796
