experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.2,6512,212,0.8,add,0.01,4557,66,262144,5,1,1765,0.943227899,0.936392915,1163,88,70,0,75.8789444,3.893358849,0.168460125,0.022947595,4.07E-06,16.32137944,286746.0399,1.221402758,2.449822392,2776,38.49145508,20,1.515682359
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.4,13024,424,0.8,add,0.01,9116,131,262144,5,1,1965,0.848484848,0.864689151,1064,143,190,0,86.73851013,4.116212852,0.30016379,0.022128409,4.62E-06,19.53604554,1189054.708,1.221402758,4.617023163,2915,59.32263947,20,1.636435453
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.6,19536,636,0.8,add,0.01,13674,196,262144,5,1,2285,0.824088748,0.834670947,1040,190,222,0,97.39727783,4.824745651,0.517066753,0.009102664,4.75E-06,21.9457465,2687451.901,1.221402758,7.272085675,2948,99.13084412,20,1.81798889
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.8,26048,848,0.8,add,0.01,18233,261,262144,5,1,2301,0.832283465,0.843238931,1057,180,213,0,147.3873596,4.960760736,0.655107814,0.00841136,4.43E-06,23.54386202,4792449.371,1.221402758,9.328999024,3008,108.9803619,20,1.586889386
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1,32561,1060,0.8,add,0.01,22792,326,262144,5,1,2454,0.841568627,0.842229199,1073,200,202,0,163.5014725,5.7771879,0.72221138,0.010015008,4.97E-06,24.72724947,7511781.715,1.221402758,11.33665083,3042,125.6284485,20,1.627106293
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1,32561,1060,0.8,add,0.01,22792,326,262144,5,1,2433,0.815396701,0.821852732,1038,215,235,0,146.6993408,5.580049855,0.615922563,0.00851063,4.39E-06,24.599993,7526722.602,1.221402758,11.55865581,3036,129.1471939,20,1.731556447
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1,32561,1060,0.8,add,0.05,22791,1629,262144,5,1,2399,0.829652997,0.833927864,1052,203,216,0,183.4116898,8.629321648,3.090785622,0.019969374,5.11E-06,30.06475637,7532957.205,1.221402758,12.19489671,3138,139.6164703,20,1.7334322
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1,32561,1060,0.8,add,0.15,22792,4884,262144,5,1,2503,0.804821151,0.821102737,1035,200,251,0,209.031105,16.1228238,7.896705427,0.03943732,5.40E-06,44.63747446,7560325.965,1.221402758,15.02004307,3297,135.9391785,20,1.972902994
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1,32561,1060,0.8,add,0.2,22792,6512,262144,5,1,2402,0.799531981,0.812202853,1025,217,257,0,196.0400314,16.69308591,8.652950284,0.029283959,4.88E-06,48.09551397,7527145.474,1.221402758,15.64416876,3285,130.4659119,20,1.7343722
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1,32561,1060,0.8,add,0.3,22792,9769,262144,5,1,2254,0.724458204,0.780650542,936,170,356,0,242.466774,23.58170494,13.64255474,0.012545244,6.86E-06,59.07048872,7502659.766,1.221402758,15.70315876,3195,185.2702942,20,1.622714472
