experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.2,207719,215737,0.8,add,0.01,145402,2078,262144,20,2.6666666666666665,0,0,0,0,0,0,0,326.5817413330078,0.02195283,0.011268195,0.0,0.0,0.0,15663539.889194295,1.0512710963760241,0.807962697,0,271.90067291259766,1,0.01061415,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.4,415439,431475,0.8,add,0.01,290806,4155,262144,20,2.6666666666666665,0,0,0,0,0,0,0,467.2125701904297,0.023730193,0.016415141,0.0,0.0,0.0,62789764.74623502,1.0512710963760241,1.472328286,0,767.8124694824219,1,0.007272885,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.6,623159,647212,0.8,add,0.01,436210,6232,262144,20,2.6666666666666665,0,0,0,0,0,0,0,586.6515350341797,0.022458804,0.014173644,0.0,0.0,0.0,141082797.70070168,1.0512710963760241,2.104558951,0,1011.7900924682617,1,0.008232956,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.8,830879,862950,0.8,add,0.01,581615,8309,262144,20,2.6666666666666665,0,0,0,0,0,0,0,750.7759017944336,0.036938365,0.028809978,0.0,0.0,0.0,250589559.82906824,1.0512710963760241,2.768233048,0,1256.8429336547852,1,0.008064411,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,2.6666666666666665,0,0,0,0,0,0,0,858.9829406738281,0.051975906,0.038719563,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,3.399752123,0,1488.523422241211,1,0.013153839,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,2.6666666666666665,0,0,0,0,0,0,0,859.2228698730469,0.034071219,0.029318597,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,3.569131922,0,1488.3828811645508,1,0.00469069,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.05,727019,51930,262144,20,2.6666666666666665,0,0,0,0,0,0,0,1021.5535354614258,0.134368048,0.12921581,0.0,0.0,0.0,391685354.8626983,1.0512710963760241,3.6206693850000002,0,1646.2546081542969,1,0.005073456,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.15,727019,155790,262144,20,2.6666666666666665,0,0,0,0,0,0,0,1431.7438659667969,0.484660383,0.479503226,0.0,0.0,0.0,391648975.8281252,1.0512710963760241,4.540669802,0,1739.2635192871094,1,0.005097625,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.2,727019,207720,262144,20,2.6666666666666665,0,0,0,0,0,0,0,1635.5265884399414,0.666003828,0.651091007,0.0,0.0,0.0,391572550.7481318,1.0512710963760241,4.634987267,0,1896.1421966552734,1,0.014845731,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.3,727019,311580,262144,20,2.6666666666666665,0,0,0,0,0,0,0,1727.8032760620117,1.3135206799999999,1.302199012,0.0,0.0,0.0,391681178.2745014,1.0512710963760241,5.271402316,0,1682.125389099121,1,0.011248761,0.0
