experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.2,68497,23459,0.8,add,0.01,47947,685,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,740.1337661743164,22.841185787,0.028898388,0.002334997,2.05e-06,0.11036288,6928169.705855509,1.0512710963760241,28.689410456,10,626.6207427978516,1,0.119685548,43.069792481
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.4,136994,46918,0.8,add,0.01,95895,1370,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1142.1883697509766,23.056583724,0.034175039,0.002604273,1.709e-06,0.062671677,27820456.336777825,1.0512710963760241,32.061493561,10,829.1860656738281,1,0.062694598,44.138474747
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.6,205491,70377,0.8,add,0.01,143843,2055,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1397.7279052734375,22.537455619,0.045524449,0.002120314,1.258e-06,0.140360665,62463610.15974743,1.0512710963760241,33.318436738,10,1008.9855651855469,1,0.089826797,42.506688094
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.8,273988,93837,0.8,add,0.01,191791,2740,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1537.7085418701172,22.203341499,0.05968461,0.002013903,1.379e-06,0.113822416,111075061.18553822,1.0512710963760241,31.869058511,10,1220.0948867797852,1,0.072368713,42.863674589
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1605.8223724365234,21.279688186,0.078663079,0.00174311,1.233e-06,0.057226742,173451355.5703873,1.0512710963760241,35.804079785,10,1311.9911270141602,1,0.082983174,41.066386204
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1660.4592895507812,22.137243732,0.072202659,0.001398006,1.178e-06,0.14841037,173451355.5703873,1.0512710963760241,34.845375841,10,1492.1571426391602,1,0.052760432,41.687900133
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.05,239739,17125,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1751.2361145019531,22.458872355,0.41350598,0.00236833,1.272e-06,0.150911999,173468998.56055266,1.0512710963760241,36.005054001,10,1474.624153137207,1,0.046478111,41.458942036
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.15,239740,51373,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,2193.3547286987305,23.144846801,1.390861156,0.001147074,1.538e-06,0.123748374,173723834.6389643,1.0512710963760241,34.501347888,10,1546.3500671386719,1,0.040901178,39.987122616
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.2,239739,68498,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,2453.927932739258,25.597715646,2.05324444,0.000921675,1.23e-06,0.14118786,173830292.92917803,1.0512710963760241,38.377508684,10,1702.5934982299805,1,0.047444345,44.803660927
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.3,239740,102746,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,2618.795295715332,27.680721643,2.798812214,0.001265868,1.147e-06,0.100487059,173552366.6065669,1.0512710963760241,38.788149461,10,1699.7476501464844,1,0.044984917,46.972154873
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.01,342486,3425,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1497.554100036621,22.768302403,0.080803768,0.001639214,1.331e-06,0.08857946,354630810.30861247,1.0512710963760241,39.020374583,10,1512.0848236083984,1,0.056969648,43.923437258
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.1,342486,34249,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1803.744239807129,24.579995015,0.956100525,0.001993728,1.296e-06,0.051593023,354630810.30861247,1.0512710963760241,39.628187478,10,1504.6441040039062,1,0.040429132,46.810004258
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.15,342486,51373,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1935.1214904785156,26.119419192,1.306054941,0.002163552,1.22e-06,0.153204467,354630810.30861247,1.0512710963760241,34.168918527,10,1471.8279266357422,1,0.072745496,48.490620093
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.2,342486,68498,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,1939.2896728515625,23.980206085,2.066216314,0.002161241,1.505e-06,0.205040232,354630810.3086125,1.0512710963760241,34.29785145,10,1408.090576171875,1,0.03968915,42.319890165
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.3,342486,102746,262144,20,2.6666666666666665,10,1,1.0,10,0,0,0,2088.727813720703,26.566247561,2.886597868,0.000951994,1.612e-06,0.053172404,354630810.30861247,1.0512710963760241,36.64608312,10,1334.2399444580078,1,0.056547711,44.234686654
