experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.2,83694,35023,0.8,add,0.01,58585,837,262144,20,2.6666666666666665,1,1,1,1,0,0,0,872.7158203125,12.791449785,0.022218544,0.001179897,9.14e-07,0.088252019,6094104.994802039,1.0512710963760241,20.956690279,1,775.5028381347656,1,0.178012372,24.256191086
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.4,167388,70047,0.8,add,0.01,117171,1674,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1141.6858978271484,12.732036437,0.036338787,0.001461562,7.61e-07,0.030358501,24425576.108155243,1.0512710963760241,23.163164325,1,1057.737922668457,1,0.03786109,22.459308073
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.6,251082,105070,0.8,add,0.01,175757,2511,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1466.914779663086,14.978515964,0.061866047,0.001420438,1.046e-06,0.047992714,55003673.119652085,1.0512710963760241,24.912818422,1,1330.530372619629,1,0.056191394,27.25615699
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.8,334776,140094,0.8,add,0.01,234342,3348,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1677.3148880004883,14.67570273,0.067948258,0.000978158,6.27e-07,0.09205605,97731184.60226928,1.0512710963760241,28.88185574,1,1593.9086074829102,1,0.076661719,25.727581466
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1893.6117095947266,14.906907106,0.100062045,0.001210755,8.38e-07,0.058214568,152798480.76769137,1.0512710963760241,29.402752784,1,1828.0736236572266,1,0.148334852,26.356681438
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1897.702896118164,14.694956196,0.080379184,0.001261387,6.98e-07,0.030581883,152798480.76769137,1.0512710963760241,29.301984308,1,1854.6426696777344,1,0.13642703,26.684922801
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.05,292929,20924,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1941.1359558105469,15.166408398,0.417571074,0.000571073,8.92e-07,0.026369378,152801732.778595,1.0512710963760241,29.863046597,1,1687.6881713867188,1,0.110635377,26.551005266
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.15,292929,62771,262144,20,2.6666666666666665,1,1,1,1,0,0,0,2704.8574752807617,16.355941064,1.56024356,0.001170882,8.32e-07,0.066069686,152726627.8056361,1.0512710963760241,31.325970175,1,1870.0527801513672,1,0.126613967,24.658325068
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.2,292929,83694,262144,20,2.6666666666666665,1,1,1,1,0,0,0,3023.10733795166,15.047257618,2.076814669,0.001304174,5.76e-07,0.030885311,152722719.9031866,1.0512710963760241,30.649010042,1,1971.1723022460938,1,0.0796367,24.652845507
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.3,292929,125542,262144,20,2.6666666666666665,1,1,1,1,0,0,0,3185.7872467041016,16.614302939,3.474513572,0.001137906,7.81e-07,0.032194727,152783799.06731275,1.0512710963760241,33.238632584,1,1938.2048416137695,1,0.05590569,23.28412975
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,delete,0.01,418471,4185,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1639.8816375732422,15.419618788,0.079071503,0.000771729,7.34e-07,0.066670416,311694706.6378139,1.0512710963760241,32.48299414,1,1929.7589492797852,1,0.043566035,26.789184477
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,delete,0.1,418471,41848,262144,20,2.6666666666666665,1,1,1,1,0,0,0,2116.0340728759766,13.870957485,1.103123184,0.001071185,9.82e-07,0.049035964,311694706.637814,1.0512710963760241,30.59357581,1,1933.3703918457031,1,0.070758118,23.077481596
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,delete,0.15,418471,62771,262144,20,2.6666666666666665,1,1,1,1,0,0,0,2335.0062255859375,14.199554546,1.539326944,0.001152116,6.86e-07,0.033061859,311694706.63781404,1.0512710963760241,31.392472236,1,1671.0773544311523,1,0.026453341,24.712838329
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,delete,0.2,418471,83695,262144,20,2.6666666666666665,1,1,1,1,0,0,0,2450.743827819824,15.081840091,2.334440102,0.000541516,6.5e-07,0.058591878,311694706.63781404,1.0512710963760241,30.463099907,1,1720.3964157104492,1,0.027471964,23.901502861
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,delete,0.3,418471,125542,262144,20,2.6666666666666665,1,1,1,1,0,0,0,2451.545852661133,16.503307564,3.546647197,0.000126939,5.04e-07,0.027432751,311694706.637814,1.0512710963760241,30.709715019,1,1595.3206024169922,1,0.05831002,25.718611468
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1900.9460754394531,14.228029661,0.080548537,0.001097224,6.81e-07,0.036914638,152798480.76769134,1.0512710963760241,28.220800894,1,1831.7408905029297,1,0.054683797,27.113677876
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,1751179,0.8,add,0.01,292929,4185,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1905.7271118164062,14.017420478,0.082980112,0.001102095,7.63e-07,0.078347557,152798480.76769137,1.0512710963760241,29.148465502,1,1814.998779296875,1,0.055966132,27.300210228
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,17511797,0.8,add,0.01,292929,4185,262144,20,2.6666666666666665,1,1,1,1,0,0,0,1905.3989715576172,14.18644291,0.080909504,0.000715612,6.56e-07,0.014336997,152798480.76769134,1.0512710963760241,27.752806808,1,1791.1735076904297,1,0.060487955,26.252615347
