experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.2,6512,212,0.8,add,0.01,4557,66,262144,20,2.6666666666666665,72,0.96875,0.911764705882353,62,10,2,0,115.05751037597656,1.817131738,0.006344537,0.002954968,1.551e-06,0.093695435,205080.09696206666,1.0512710963760241,2.512033551,64,33.737525939941406,1,0.114208285,3.220262457
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.4,13024,424,0.8,add,0.01,9116,131,262144,20,2.6666666666666665,67,0.953125,0.931297709923664,61,6,3,0,124.87501525878906,1.905324109,0.011485804,0.002137884,2.298e-06,0.098348453,822561.1345121446,1.0512710963760241,2.685544769,64,39.29119110107422,1,0.130539584,3.400239809
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.6,19536,636,0.8,add,0.01,13674,196,262144,20,2.6666666666666665,71,0.9846153846153847,0.9411764705882353,64,7,1,0,154.12171936035156,1.731080787,0.007344275,0.004435115,2.007e-06,0.104627209,1847131.1946660157,1.0512710963760241,2.579574893,65,46.89221954345703,1,0.108707789,3.043129285
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.8,26048,848,0.8,add,0.01,18233,261,262144,20,2.6666666666666665,68,0.9692307692307692,0.9473684210526316,63,5,2,0,124.61595916748047,1.8981604399999998,0.010267418,0.001235654,1.89e-06,0.101646307,3283764.1022136495,1.0512710963760241,2.856493415,65,67.83934020996094,1,0.166364526,3.235248731
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,2.6666666666666665,71,0.9696969696969697,0.9343065693430657,64,7,2,0,191.31390380859375,2.13797089,0.014913765,0.006158956,2.459e-06,0.105435426,5132426.752922372,1.0512710963760241,3.070124597,66,73.75970458984375,1,0.199309612,3.642897533
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,65536,20,2.6666666666666665,71,0.9696969696969697,0.9343065693430657,64,7,2,0,131.00839233398438,2.045958525,0.015216641,0.000485323,2.409e-06,0.100247323,10264853.505844742,1.0512710963760241,3.206479383,66,70.1895751953125,1,0.132362264,3.487007114
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,131072,20,2.6666666666666665,71,0.9696969696969697,0.9343065693430657,64,7,2,0,146.7823257446289,2.00848218,0.013051914,0.001281618,2.077e-06,0.106327598,7258347.521869323,1.0512710963760241,3.134684238,66,79.19549560546875,1,0.101801742,3.469571274
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,2.6666666666666665,70,0.9545454545454546,0.9264705882352942,63,7,3,0,185.28531646728516,2.073684328,0.013819555,0.001452081,1.432e-06,0.085914253,5132426.752922371,1.0512710963760241,3.099062313,66,73.67925262451172,1,0.148277738,3.638841459
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,524288,20,2.6666666666666665,73,0.984375,0.9197080291970804,63,10,1,0,237.52235412597656,1.967191694,0.01384041,0.001182061,1.431e-06,0.096162581,3629173.7609346616,1.0512710963760241,3.119817447,64,78.73538970947266,1,0.115719695,3.442779133
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,1048576,20,2.6666666666666665,72,0.9565217391304348,0.9361702127659574,66,6,3,0,358.0409851074219,1.8885874820000002,0.013364486,0.003132313,1.481e-06,0.1121335,2566213.3764611855,1.0512710963760241,3.022619382,69,76.30760192871094,1,0.121030146,3.327901897
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,2097152,20,2.6666666666666665,70,0.9692307692307692,0.9333333333333333,63,7,2,0,549.1257781982422,1.911158163,0.006841173,0.005954582,1.576e-06,0.108968953,1814586.8804673308,1.0512710963760241,2.748177668,65,74.31548309326172,1,0.135953179,3.279670586
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,4194304,20,2.6666666666666665,69,0.9411764705882353,0.9343065693430658,64,5,4,0,904.5249099731445,1.942927735,0.008322225,0.002811817,1.554e-06,0.100368024,1283106.6882305928,1.0512710963760241,3.410833383,68,78.4046859741211,1,0.119654814,3.415670912
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,8388608,20,2.6666666666666665,69,0.9705882352941176,0.9635036496350365,66,3,2,0,1510.9080429077148,2.205505477,0.010682244,0.008631823,2.641e-06,0.115080222,907293.4402336654,1.0512710963760241,3.163971123,68,69.54109191894531,1,0.171597344,3.913329962
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,16777216,20,2.6666666666666665,70,0.9545454545454546,0.9264705882352942,63,7,3,0,2779.5707473754883,1.679435519,0.011351308,0.00189434,1.844e-06,0.099597608,641553.3441152964,1.0512710963760241,3.231813112,66,84.5019760131836,1,0.119083036,2.950717996
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,33554432,20,2.6666666666666665,72,0.984375,0.9264705882352942,63,9,1,0,5341.910209655762,1.9687887160000002,0.008657168,0.010557505,2.71e-06,0.113851088,453646.7201168327,1.0512710963760241,3.208936135,64,102.6688232421875,1,0.112669517,3.486507207
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,67108864,20,2.6666666666666665,70,0.9393939393939394,0.9117647058823529,62,8,4,0,10471.362655639648,1.976715262,0.011087977,0.008638227,2.01e-06,0.106387134,320776.6720576482,1.0512710963760241,3.249562945,66,79.46881866455078,1,0.128049594,3.501611581
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,134217728,20,2.6666666666666665,70,0.953125,0.9104477611940298,61,9,3,0,20704.30389404297,1.957558744,0.012820827,0.003793186,1.969e-06,0.09509336,226823.36005841635,1.0512710963760241,3.078518275,64,69.63191223144531,1,0.127667151,3.454969517
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,268435456,20,2.6666666666666665,70,0.9428571428571428,0.9428571428571428,66,4,4,0,41183.89669036865,1.9021884980000001,0.009830007,0.002227642,1.958e-06,0.105486522,160388.3360288241,1.0512710963760241,3.199222934,70,76.90766143798828,1,0.153009712,3.28512804
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,536870912,20,2.6666666666666665,69,0.9242424242424242,0.9037037037037037,61,8,5,0,82144.11465454102,2.076573936,0.014318988,0.000747733,2.046e-06,0.103444573,113411.68002920818,1.0512710963760241,3.231173205,66,75.24087524414062,1,0.184774364,3.549238353
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,1073741824,20,2.6666666666666665,68,0.9393939393939394,0.9253731343283583,62,6,4,0,164065.39026641846,2.029840194,0.008990359,0.001559156,2.012e-06,0.095901942,80194.16801441205,1.0512710963760241,3.28225161,66,79.9214096069336,1,0.122102726,3.65109853
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,2147483648,20,2.6666666666666665,67,0.9545454545454546,0.9473684210526316,63,4,3,0,327903.5278930664,1.935011016,0.008553172,0.001208537,1.682e-06,0.100863809,56705.84001460409,1.0512710963760241,3.656435673,66,71.39517211914062,1,0.18162232,3.329802866
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,4294967296,20,2.6666666666666665,70,0.9696969696969697,0.9411764705882354,64,6,2,0,655581.6807174683,1.8661001590000001,0.010946385,0.000752708,1.738e-06,0.091459041,40097.084007206024,1.0512710963760241,3.847834588,66,66.40397644042969,1,0.138474652,3.241660654
