experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,872.7158203125,145.750074972,0.073173526,0.007314531,1.6304e-05,0.531729957,15663539.889194297,1.051271096376024,178.337500272,89,775.5028381347656,4,0.440336183,283.409188083
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1142.1883697509766,153.637186335,0.095149398,0.010174423,6.291e-06,0.454266419,62789764.74623502,1.051271096376024,166.95759689,89,1057.737922668457,4,0.201002057,296.8232102
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1466.914779663086,138.237578421,0.140743913,0.0071949349999999995,5.0070000000000005e-06,0.464034713,141082797.70070168,1.051271096376024,180.535547654,89,1330.530372619629,4,0.261990475,267.826654245
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,2.6666666666666665,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,1677.3148880004885,149.255030099,0.185459607,0.00733595,4.786e-06,0.51196574,250589559.82906824,1.051271096376024,177.63514658999998,90,1593.9086074829102,4,0.27839960599999997,291.79809788700004
SCALE,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,1893.6117095947263,155.058265396,0.276746737,0.007166448,5.035e-06,0.522429163,391691758.6114777,1.051271096376024,185.949940349,90,1828.0736236572263,4,0.329270404,298.041049221
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1897.702896118164,145.468179572,0.210553513,0.006539772000000001,5.023e-06,0.657688854,391691758.6114777,1.051271096376024,184.702049329,89,1854.6426696777344,4,0.258454159,280.746225011
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,1941.1359558105469,152.83183315,1.079597896,0.0070270720000000005,5.121999999999999e-06,0.659097491,391685354.8626983,1.051271096376024,180.366143311,89,1687.6881713867188,4,0.226839746,289.344809522
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,2704.8574752807617,148.799364211,3.788672011,0.007604682000000001,4.897000000000001e-06,0.563913934,391648975.8281252,1.051271096376024,184.24259930899998,89,1870.0527801513672,4,0.247100406,275.532138658
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,3023.10733795166,154.411971106,5.256834845,0.006371128,4.6620000000000004e-06,0.759958056,391572550.7481318,1.051271096376024,182.155339791,89,1971.1723022460935,4,0.232567505,292.59488978900004
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.3,1288807,552348,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,3185.7872467041016,152.090655924,8.220882574,0.006187966,4.543e-06,0.521256929,391681178.2745014,1.051271096376024,186.414034636,89,1938.2048416137693,4,0.191333338,276.779052781
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.01,1841155,18412,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,1639.8816375732422,150.598684523,0.223100686,0.00735715,5.848999999999999e-06,0.441943172,799426078.4271293,1.051271096376024,202.24772064899997,89,1929.7589492797847,4,0.214965387,290.521381627
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.1,1841155,184117,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,2116.034072875977,159.78995042,2.609598219,0.008692109,5.5420000000000005e-06,0.5245870619999999,799426078.4271293,1.051271096376024,187.32396616900002,89,1933.3703918457031,4,0.244539648,302.778579855
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.15,1841155,276174,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,2335.006225585937,153.080766643,3.713665744,0.008072505,4.8469999999999995e-06,0.711851362,799426078.4271293,1.051271096376024,179.34712455200003,89,1706.4303970336914,4,0.17475985700000002,289.525531704
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.2,1841155,368233,262144,20,2.6666666666666665,90,0.75,0.75,22.5,0.0,0.0,0.0,2450.743827819824,156.010703298,5.8119385359999995,0.006270646,4.836e-06,0.504730295,799426078.4271293,1.051271096376024,181.05249012800002,90,1720.3964157104492,4,0.10860873700000001,292.016208588
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.3,1841155,552348,262144,20,2.6666666666666665,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,2451.545852661133,156.73381009500002,8.303988864,0.004912168,5.008e-06,0.492310519,799426078.4271293,1.051271096376024,194.68914704,89,1595.3206024169922,4,0.220858729,292.533919751
SUPPORT,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1900.946075439453,149.92146498900001,0.23378726,0.007240196,4.7179999999999996e-06,0.535799487,391691758.6114777,1.051271096376024,172.698672642,89,1831.7408905029297,4,0.18148640900000002,288.042671571
