experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.2,8319,346,0.8,add,0.01,5822,84,262144,20,2.6666666666666665,78,1.0,1.0,78,0,0,0,437.4362030029297,110.09548657,0.010788399,0.003799637,1.334e-05,0.333115058,299761.01924617443,1.0512710963760241,127.88343684,78,324.41602325439453,1,0.132024113,216.083204516
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.4,16639,692,0.8,add,0.01,11646,167,262144,20,2.6666666666666665,78,1.0,1.0,78,0,0,0,455.3854751586914,117.824835981,0.008220431,0.006108588,3.821e-06,0.361236241,1200399.4484648306,1.0512710963760241,110.260610718,78,295.9973602294922,1,0.093173484,230.22542738
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.6,24959,1038,0.8,add,0.01,17470,250,262144,20,2.6666666666666665,78,1.0,1.0,78,0,0,0,510.59998321533203,100.699148034,0.019179773,0.003654183,2.703e-06,0.275681334,2697736.4050958916,1.0512710963760241,120.199733543,78,322.8621292114258,1,0.107739328,198.063809161
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.8,33279,1384,0.8,add,0.01,23295,333,262144,20,2.6666666666666665,78,0.9873417721518988,0.9936305732484078,78,0,1,0,536.5983428955078,112.339047505,0.029016761,0.004343889,2.78e-06,0.306087274,4785656.256274843,1.0512710963760241,114.115999291,79,335.79285430908203,1,0.121304763,223.206841832
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,2.6666666666666665,78,0.9873417721518988,0.9936305732484078,78,0,1,0,568.2512741088867,118.819694198,0.05930205,0.004212583,2.964e-06,0.406987853,7480684.429756107,1.0512710963760241,117.343355657,79,341.31298065185547,1,0.084798539,230.617981579
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,2.6666666666666665,78,1.0,1.0,78,0,0,0,560.4600372314453,108.601908425,0.028653073,0.003880379,3.147e-06,0.478696601,7480684.429756108,1.0512710963760241,116.985557258,78,342.38427734375,1,0.064576007,212.373402077
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.05,29119,2080,262144,20,2.6666666666666665,79,1.0,0.9936305732484078,78,1,0,0,563.9927368164062,115.072184349,0.119305032,0.004087669,2.958e-06,0.481816114,7476064.065062629,1.0512710963760241,110.877373328,78,336.3036346435547,1,0.064652802,221.33486222
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.15,29119,6240,262144,20,2.6666666666666665,78,1.0,1.0,78,0,0,0,622.9463348388672,108.813915963,0.358064069,0.005286726,2.527e-06,0.374095874,7472595.123806473,1.0512710963760241,113.874611444,78,370.3789749145508,1,0.074487636,210.886690974
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.2,29119,8320,262144,20,2.6666666666666665,79,1.0,0.9936305732484078,78,1,0,0,601.6558151245117,113.100994014,0.475684729,0.004145279,2.856e-06,0.587884885,7480501.151029783,1.0512710963760241,108.493833798,78,384.29737091064453,1,0.090640729,223.138383355
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.3,29119,12480,262144,20,2.6666666666666665,78,1.0,1.0,78,0,0,0,604.9564743041992,106.482110662,0.645357776,0.003784192,2.615e-06,0.388575143,7480629.172531513,1.0512710963760241,109.115850275,78,376.34850311279297,1,0.07919397,206.522768158
