experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.01,80442,1150,262144,20,2.6666666666666665,50,1.0,1.0,50,0,0,0,582.2550964355469,10.579735793,0.065893046,0.002822192,1.924e-06,0.096672901,42716951.31942159,1.0512710963760241,12.452518736,50,302.84119415283203,1,0.117002967,20.143909807
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.05,80443,5746,262144,20,2.6666666666666665,50,1.0,1.0,50,0,0,0,584.9349822998047,10.51674802,0.203917083,0.003984414,2.219e-06,0.116884918,42717750.75254325,1.0512710963760241,12.17443619,50,309.4441680908203,1,0.129447414,19.893301318
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.15,80443,17238,262144,20,2.6666666666666665,51,1.0,0.99009900990099,50,1,0,0,632.9530181884766,10.668020967,0.39576941,0.003257259,2.7e-06,0.14961079,42684809.3072686,1.0512710963760241,12.211145397,50,363.16514587402344,1,0.090979211,19.384944063
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.2,80443,22984,262144,20,2.6666666666666665,50,0.98,0.98,49,1,1,0,639.2835311889648,10.77440607,0.517938045,0.002502871,2.666e-06,0.08384295,42697742.12484561,1.0512710963760241,12.326390383,50,368.6315460205078,1,0.094109601,19.840842398
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.3,80443,34476,262144,20,2.6666666666666665,51,1.0,0.99009900990099,50,1,0,0,668.2279586791992,10.587683519,0.655764709,0.00093746,2.443e-06,0.154449474,42710481.64582024,1.0512710963760241,12.33986754,50,377.56971740722656,1,0.092276366,18.850889189
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.01,114919,1150,262144,20,2.6666666666666665,51,1.0,0.99009900990099,50,1,0,0,545.7189559936523,9.910506234,0.043536302,0.003419848,1.911e-06,0.117088138,87138502.37131774,1.0512710963760241,11.991741331,50,372.16548919677734,1,0.106783022,19.108476811
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.1,114919,11492,262144,20,2.6666666666666665,51,1.0,0.99009900990099,50,1,0,0,516.9457092285156,10.13119433,0.307013142,0.000673943,2.148e-06,0.245896266,87138502.37131774,1.0512710963760241,12.434526912,50,356.0848083496094,1,0.091418076,18.889189152
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.15,114919,17238,262144,20,2.6666666666666665,51,1.0,0.99009900990099,50,1,0,0,525.4797744750977,10.352370520000001,0.428154047,0.003639219,2.601e-06,0.160617452,87138502.37131774,1.0512710963760241,12.246869205,50,352.7061462402344,1,0.093103856,18.915932292
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.2,114919,22984,262144,20,2.6666666666666665,51,0.98,0.9702970297029702,49,2,1,0,539.5575103759766,10.540764325,0.56449641,0.000855234,2.047e-06,0.143679593,87138502.37131774,1.0512710963760241,12.373046523,50,304.54945373535156,1,0.095460701,19.009730751
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.3,114919,34476,262144,20,2.6666666666666665,51,1.0,0.99009900990099,50,1,0,0,544.7731781005859,11.327690925,0.694105669,0.003213141,2.299e-06,0.246806628,87138502.37131774,1.0512710963760241,12.586121901,50,287.5771255493164,1,0.088319953,20.08091105
