experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,2.6666666666666665,26,1,1,26,0,0,0,3902.988700866699,5.481829014,0.267294517,0.002086549,1.426e-06,0.081757521,6357368999.1851225,1.0512710963760241,30.029564746,26,5334.028480529785,1,0.055294938,10.232030593
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.05,1177131,84081,262144,20,2.6666666666666665,26,1,1,26,0,0,0,5932.7502365112305,7.862101584,0.953129453,0.001603254,1.906e-06,0.10303522,6357199823.049039,1.0512710963760241,31.532757577,26,5404.852180480957,1,0.066014804,12.71489622
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.15,1177130,252243,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6933.952728271484,10.031967991,4.142877804,0.002544405,1.65e-06,0.088245832,6356203620.12694,1.0512710963760241,35.342584338,26,5886.375556945801,1,0.076586581,11.211813741
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.2,1177130,336324,262144,20,2.6666666666666665,26,1,1,26,0,0,0,8351.745407104492,12.327383978,5.08302163,0.000574999,1.583e-06,0.100118664,6356891739.439738,1.0512710963760241,36.63160663,26,5981.197547912598,1,0.058688485,14.130117735
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.3,1177131,504485,262144,20,2.6666666666666665,26,1,1,26,0,0,0,8945.986961364746,14.896588839,8.287877944,0.002221946,2.338e-06,0.079486981,6357312939.2660055,1.0512710963760241,41.254438974,26,6088.117210388184,1,0.078935593,12.66382195
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.01,1681616,16817,262144,20,2.6666666666666665,26,1,1,26,0,0,0,3508.92822265625,5.23430181,0.245708617,0.001200981,1.729e-06,0.071875581,12972898678.211668,1.0512710963760241,41.215558681,26,4916.4521560668945,1,0.044527533,9.501983808
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.1,1681616,168162,262144,20,2.6666666666666665,26,1,1,26,0,0,0,5361.208335876465,8.634905898,2.763056443,0.002132408,1.756e-06,0.095023366,12972898678.211666,1.0512710963760241,36.911148792,26,4901.46280670166,1,0.037058982,11.439701763
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.15,1681616,252243,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6308.878791809082,11.131372118,3.893655453,0.002831996,2.028e-06,0.096493793,12972898678.211668,1.0512710963760241,35.425117647,26,4766.649322509766,1,0.046876024,13.550228208
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.2,1681616,336324,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6395.764297485352,11.551963642,5.341168369,0.00271949,1.816e-06,0.07596706,12972898678.211668,1.0512710963760241,33.1289193,26,4678.663177490234,1,0.091928509,12.01827733
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.3,1681616,504485,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6932.515609741211,14.173109216,7.659334939,0.003077067,2.447e-06,0.11601198,12972898678.211668,1.0512710963760241,29.83063802,26,4760.241470336914,1,0.077464346,12.673939662
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,4.0,26,1,1,26,0,0,0,3898.6526489257812,3.649052942,0.17659748,0.001654687,1.582e-06,0.07592476,6357368999.185124,1.0512710963760241,20.726507349,26,5388.992958068848,1,0.043444038,6.514932302
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,8.0,26,1,1,26,0,0,0,3914.38484954834,1.9184799240000001,0.111550144,0.00039559,1.52e-06,0.072170436,6357368999.185124,1.0512710963760241,11.597873469,26,5102.457473754883,1,0.041860853,3.273250934
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,12.0,26,1,1,26,0,0,0,3956.025291442871,1.3222153859999999,0.074774367,0.00035644,1.929e-06,0.077151565,6357368999.1851225,1.0512710963760241,8.640537182,26,5098.4245529174805,1,0.039271564,2.208964261
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,16.0,26,1,1,26,0,0,0,3920.081672668457,1.237083049,0.073382191,0.000469303,2.075e-06,0.081864934,6357368999.185124,1.0512710963760241,7.215600053,26,5697.544410705566,1,0.053856919,2.084301937
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,20.0,26,1,1,26,0,0,0,3936.1879348754883,1.154521425,0.06279173,0.003950303,2.086e-06,0.085713567,6357368999.185124,1.0512710963760241,6.211926883,26,4930.181312561035,1,0.058074916,1.880838743
