experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,0.2,6512,212,0.8,add,0.01,4557,66,262144,20,5.0,87,0.9431818181818182,0.9485714285714286,83,4,5,0,67.11140441894531,5.633108198,0.00322179,0.001490566,6.049e-06,8.863942284,169671.34842782287,1.0512710963760241,1.125028118,88,25.45435333251953,20,4.549727116,3.018638707
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,0.4,13024,424,0.8,add,0.01,9116,131,262144,20,5.0,90,0.9651162790697675,0.9431818181818181,83,7,3,0,85.42388153076172,6.063338449,0.004724952,0.048746785,9.95e-06,12.031869535,679164.1319370664,1.0512710963760241,1.406608019,86,34.20336151123047,20,4.795597588,3.711755929
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,0.6,19536,636,0.8,add,0.01,13674,196,262144,20,5.0,89,0.9764705882352941,0.9540229885057471,83,6,2,0,102.5584487915039,6.1007836619999996,0.007933536,0.111708406,9.169e-06,10.097480386,1525643.358121838,1.0512710963760241,1.5623687130000001,85,73.997802734375,20,4.839451714,3.605159944
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,0.8,26048,848,0.8,add,0.01,18233,261,262144,20,5.0,88,0.9529411764705882,0.9364161849710982,81,7,4,0,128.9315643310547,5.790571371,0.008788318,0.140092317,6.4e-06,11.212077894,2713964.9238979975,1.0512710963760241,1.6702207850000002,85,68.7743911743164,20,4.551665966,3.660304124
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,5.0,90,0.9659090909090909,0.9550561797752809,85,5,3,0,192.94654846191406,5.783260859,0.00820504,0.133038868,5.339e-06,12.431569538,4239244.372007259,1.0512710963760241,1.872279379,88,53.27813720703125,20,4.340966841,4.170799026
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,1.0,32561,1060,0.8,add,0.01,22792,326,65536,20,5.0,89,0.9659090909090909,0.96045197740113,85,4,3,0,102.59903717041016,5.840447991,0.009443444,0.057460866,6.236e-06,10.507811306,8478488.744014518,1.0512710963760241,1.8389529329999998,88,62.65662384033203,20,4.536824476,3.840914388
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,1.0,32561,1060,0.8,add,0.01,22792,326,131072,20,5.0,90,0.9550561797752809,0.9497206703910613,85,5,4,0,112.5964126586914,5.995024148,0.009846093,0.090044183,6.669e-06,10.227623056,5995196.88510648,1.0512710963760241,1.853340386,89,80.67290496826172,20,4.666108816,4.095077978
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,5.0,87,0.9659090909090909,0.9714285714285714,85,2,3,0,132.62042999267578,5.92751938,0.009931648,0.087055895,8.253e-06,9.941987541,4239244.372007258,1.0512710963760241,1.9486403270000001,88,47.938140869140625,20,4.63314728,4.028337706
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,1.0,32561,1060,0.8,add,0.01,22792,326,524288,20,5.0,89,0.9540229885057471,0.9431818181818182,83,6,4,0,172.53380584716797,5.832631194,0.009438115,0.112874773,1.045e-05,10.972800445,2997598.4425532394,1.0512710963760241,1.788977759,87,81.7204818725586,20,4.559263127,3.408476461
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,24,1.0,32561,1060,0.8,add,0.01,22792,326,1048576,20,5.0,89,0.9659090909090909,0.96045197740113,85,4,3,0,252.56694793701172,5.662224736,0.011084187,0.115572171,7.105e-06,9.441683885,2119622.186003629,1.0512710963760241,1.809099918,88,57.384918212890625,20,4.497655907,3.334529116
