experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,DBLP,1799556,26,0.2,359910,23459,0.8,add,0.01,251934,3600,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,809.5809936523438,5.161700885,0.028576093999999996,0.017725709,5.271e-06,0.416992258,15663539.889194297,1.051271096376024,5.690161605,11,700.6196670532227,60,1.6126830849999998,15.408466050000001
SCALE,DBLP,1799556,26,0.4,719821,46918,0.8,add,0.01,503872,7199,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,792.7961120605469,5.14338996,0.049209514999999995,0.00513556,6.2839999999999995e-06,0.453079623,62789764.74623502,1.051271096376024,7.390162596000001,11,766.1746063232422,60,1.617111994,16.217824022000002
SCALE,DBLP,1799556,26,0.6,1079732,70377,0.8,add,0.01,755810,10798,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,981.4773254394532,5.611119776,0.067807002,0.004737094,4.467e-06,0.510723021,141082797.70070168,1.051271096376024,9.277115418000001,11,878.842903137207,60,1.6262813870000001,16.977974856
SCALE,DBLP,1799556,26,0.8,1439643,93837,0.8,add,0.01,1007748,14397,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,1238.5087814331057,5.685005399,0.08532622100000001,0.0011789449999999998,4.646e-06,0.652282375,250589559.82906824,1.051271096376024,11.143304531,11,1339.9375228881836,60,1.599366994,18.524188943
SCALE,DBLP,1799556,26,1.0,1799556,117296,0.8,add,0.01,1259688,17996,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,1383.7064056396484,6.359601767999999,0.10246376100000001,0.0041688,4.757e-06,0.5684271940000001,391691758.6114777,1.051271096376024,13.272494392,11,1760.6058349609375,60,1.608059583,19.725327561
SUPPORT,DBLP,1799556,26,1.0,1799556,117296,0.8,add,0.01,1259688,17996,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,1207.8546142578125,6.164509214000001,0.10646364,0.001665745,4.744e-06,0.569146249,391691758.6114777,1.051271096376024,13.278067346,11,1250.2443237304688,60,1.607464377,19.811842615
SUPPORT,DBLP,1799556,26,1.0,1799556,1172966,0.8,add,0.01,1259688,17996,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,1388.6866149902344,5.642997139,0.107926097,0.005609065,4.3e-06,0.496070977,391691758.6114777,1.051271096376024,12.954328959000001,11,1804.782814025879,60,1.6695350600000003,18.585339087
SUPPORT,DBLP,1799556,26,1.0,1799556,11729666,0.8,add,0.01,1259688,17996,262144,20,5.0,10,0.6666666666666666,0.6666666666666666,3.3333333333333335,0.0,0.0,0.0,1152.6697311401367,4.65726433,0.099562874,0.001114486,5.928e-06,0.37324673399999997,391691758.6114777,1.051271096376024,10.083581225,10,1177.5630416870115,60,1.6286809969999998,13.070938497
SUPPORT,DBLP,1799556,26,1.0,1799556,117296660,0.8,add,0.01,1259688,17996,262144,20,5.0,9,0.3333333333333333,0.3333333333333333,3.0,0.0,0.0,0.0,1162.8069229125977,4.537334416,0.09214030399999999,0.000469796,1.0783e-05,0.43379405499999996,391691758.6114777,1.051271096376024,10.227789759,9,1865.404655456543,60,1.628781385,9.610417226
SUPPORT,DBLP,1799556,26,1.0,1799556,1172966601,0.8,add,0.01,1259688,17996,262144,20,5.0,9,0.3333333333333333,0.3333333333333333,3.0,0.0,0.0,0.0,1146.1751861572266,3.996182053,0.08655992200000001,0.001605324,2.3419999999999998e-06,0.267532049,391691758.6114777,1.051271096376024,9.533165378,9,1396.8652114868164,60,1.607384622,8.647253505
CONFIDENCE,DBLP,1799556,26,1.0,1799556,117296,0.7,add,0.01,1259688,17996,262144,20,5.0,15,0.6666666666666666,0.6666666666666666,5.0,0.0,0.0,0.0,1394.4790573120115,6.5226343149999995,0.110738062,0.003953436,4.973e-06,0.906512855,342730164.7151288,1.051271096376024,13.194868918,15,1400.6868743896484,60,1.6625334539999999,20.896815453
CONFIDENCE,DBLP,1799556,26,1.0,1799556,117296,0.8,add,0.01,1259688,17996,262144,20,5.0,11,0.6666666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,1102.8009033203125,6.418506000000001,0.111483312,0.0010335359999999998,4.537e-06,0.606057443,391691758.6114777,1.051271096376024,13.520150107000001,11,1126.8992080688477,60,1.6123540429999998,19.509970725
