experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,add,0.01,80442,1150,262144,20,5.0,56,1.0,0.9909909909909909,55,1,0,0,706.0109634399414,3.015644326,0.031821465,0.071373103,6.994e-06,16.209646676,52469902.16658717,1.0512710963760241,3.67120275,55,346.83943939208984,20,0.080448376,17.604047313
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,add,0.05,80443,5746,262144,20,5.0,56,1.0,0.9909909909909909,55,1,0,0,574.922248840332,3.304406834,0.164665306,0.055798497,7.254e-06,19.185758989,52471329.83549135,1.0512710963760241,3.80996364,55,383.3722229003906,20,0.088107252,17.010326949
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,add,0.15,80443,17238,262144,20,5.0,56,0.9818181818181818,0.972972972972973,54,2,1,0,597.0230178833008,3.22552047,0.31880645,0.04603309,8.445e-06,13.625519254,52416755.75579477,1.0512710963760241,3.953630745,55,428.22232818603516,20,0.087546561,17.642667675
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,add,0.2,80443,22984,262144,20,5.0,56,0.9818181818181818,0.972972972972973,54,2,1,0,559.3450546264648,3.240022354,0.433212519,0.053778887,6.793e-06,13.456756148,52408839.445419416,1.0512710963760241,4.155228997,55,384.7858352661133,20,0.075331186,16.561198749
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,add,0.3,80443,34476,262144,20,5.0,56,0.9818181818181818,0.972972972972973,54,2,1,0,587.6277542114258,3.618141118,0.557981711,0.031579659,7.578e-06,19.503146627,52466417.53273176,1.0512710963760241,4.336392514,55,452.55723571777344,20,0.085068974,16.391177286
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,delete,0.01,114919,1150,262144,20,5.0,56,1.0,0.9909909909909909,55,1,0,0,425.15728759765625,2.86686958,0.033890027,0.061315848,7.872e-06,13.220527719,107012128.5648855,1.0512710963760241,4.417979697,55,273.71453857421875,20,0.087618067,17.300437106
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,delete,0.1,114919,11492,262144,20,5.0,56,0.9818181818181818,0.972972972972973,54,2,1,0,567.8425827026367,3.066126775,0.270404061,0.071376278,6.846e-06,11.813292585,107012128.56488548,1.0512710963760241,4.123852652,55,336.6904067993164,20,0.079981003,17.978946663
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,delete,0.15,114919,17238,262144,20,5.0,56,0.9818181818181818,0.972972972972973,54,2,1,0,532.6505889892578,3.175610227,0.346960151,0.0404642,6.648e-06,13.663571037,107012128.56488548,1.0512710963760241,4.08642291,55,394.35833740234375,20,0.088341084,17.807862478
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,delete,0.2,114919,22984,262144,20,5.0,56,1.0,0.9909909909909909,55,1,0,0,705.0710067749023,3.240539641,0.456413004,0.046155257,8.7e-06,14.608483024,107012128.56488548,1.0512710963760241,3.829637291,55,525.5188140869141,20,0.080637804,17.628809552
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,27,1,114919,13206,0.8,delete,0.3,114919,34476,262144,20,5.0,56,0.9818181818181818,0.972972972972973,54,2,1,0,989.4305648803711,3.519569667,0.605943523,0.07833819,8.042e-06,14.946583016,107012128.56488548,1.0512710963760241,3.585168633,55,317.5931091308594,20,0.090462042,17.348752855
