experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,5.0,26,1,1,26,0,0,0,3876.404930114746,3.960535745,0.088510056,0.001520365,4.401e-06,6.81363862,6429191887.4631605,1.0512710963760241,14.418338861,26,5559.13419342041,20,0.100464281,20.777548276
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.05,1177131,84081,262144,20,5.0,26,1,1,26,0,0,0,4917.625762939453,4.353343429,0.415647978,0.001889732,5.292e-06,6.426181184,6429027310.233846,1.0512710963760241,14.351970585,26,5925.708297729492,20,0.066539543,22.095700084
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.15,1177130,252243,262144,20,5.0,26,1,1,26,0,0,0,6920.317077636719,6.31626125,1.267932706,0.002501661,7.547e-06,9.794418235,6428056381.022815,1.0512710963760241,16.2815567,26,6712.304039001465,20,0.069357768,29.387635183
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.2,1177130,336324,262144,20,5.0,26,1,1,26,0,0,0,7028.557037353516,6.96660351,1.565636704,0.006458823,6.559e-06,10.148311322,6428751637.219895,1.0512710963760241,16.82997017,26,8029.905975341797,20,0.205784773,28.225617631
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.3,1177131,504485,262144,20,5.0,26,1,1,26,0,0,0,10402.921867370605,8.147643697,2.594673014,0.004614563,6.894e-06,12.272165154,6429142997.0365305,1.0512710963760241,18.971624229,26,8684.502616882324,20,0.070316909,30.586142253
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,delete,0.01,1681616,16817,262144,20,5.0,26,1,1,26,0,0,0,3424.4068145751953,4.418649563,0.122319165,0.00172927,7.269e-06,4.824331117,13119427017.814438,1.0512710963760241,19.175471428,26,9500.565124511719,20,0.069474334,25.90859014
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,delete,0.1,1681616,168162,262144,20,5.0,26,1,1,26,0,0,0,5648.127212524414,5.653134636,0.927568096,0.039896255,5.977e-06,7.988720631,13119427017.814438,1.0512710963760241,17.196724993,26,7671.084518432617,20,0.081086479,27.445469525
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,delete,0.15,1681616,252243,262144,20,5.0,26,1,1,26,0,0,0,6904.6462326049805,6.033025613,1.397929842,0.02627105,7.134e-06,7.722459008,13119427017.814438,1.0512710963760241,16.583527795,26,7354.139442443848,20,0.078317252,26.179486099
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,delete,0.2,1681616,336324,262144,20,5.0,26,1,1,26,0,0,0,7230.548736572266,6.648431018,1.86121282,0.009551524,2.0415e-05,11.284578172,13119427017.814434,1.0512710963760241,15.559190782,26,6312.787612915039,20,0.080806756,25.032215372
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,delete,0.3,1681616,504485,262144,20,5.0,26,1,1,26,0,0,0,8548.146835327148,7.929723524,2.828305893,0.01686194,6.69e-06,13.515098477,13119427017.81444,1.0512710963760241,14.185292124,26,6293.852630615234,20,0.101704081,27.311993599
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,1.0,26,1,1,26,0,0,0,4204.552642822266,4.678899537,0.117399101,0.000877313,4.1e-06,5.840239427,6429191887.4631605,1.0512710963760241,16.10160241,26,8236.716468811035,20,0.068514177,28.075908512
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,2.0,26,1,1,26,0,0,0,4402.377395629883,4.21549233,0.090334499,0.001049577,4.238e-06,6.127787776,6429191887.4631605,1.0512710963760241,14.046292825,26,6597.927024841309,20,0.065764758,24.378715121
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,3.0,26,1,1,26,0,0,0,3730.492057800293,3.871270022,0.083306626,0.001364737,4.69e-06,5.987646978,6429191887.4631605,1.0512710963760241,13.873741454,26,5486.349411010742,20,0.071315838,22.61266971
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,4.0,26,1,1,26,0,0,0,4101.803848266602,3.888182203,0.085309209,0.001587109,4.034e-06,6.518002916,6429191887.463159,1.0512710963760241,13.955395885,26,7778.236213684082,20,0.077622708,20.477604598
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,22,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,5.0,26,1,1,26,0,0,0,3622.002128601074,3.8298116970000002,0.093246337,0.001466553,5.594e-06,4.83505698,6429191887.4631605,1.0512710963760241,14.091909207,26,5006.009727478027,20,0.089521725,21.758196523
