experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.0001,103,107,0.8,add,0.01,71,2,262144,20,40,0,0,0,0,0,0,0,171.45101928710938,0.021078734,0.00013521,0.0,0.0,0.0,4.276000431185666,1.0512710963760241,0.070688788,0,131.57798767089844,20,0.020833386,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.2,207719,215737,0.8,add,0.01,145402,2078,262144,20,8,0,0,0,0,0,0,0,332.47350311279297,0.023888507,0.01219269,0.0,0.0,0.0,15663539.889194297,1.0512710963760241,0.85751865,0,246.7385711669922,20,0.011590982,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.4,415439,431475,0.8,add,0.01,290806,4155,262144,20,8,0,0,0,0,0,0,0,484.55709075927734,0.052837766,0.029690514,0.0,0.0,0.0,62789764.74623502,1.0512710963760241,1.98884031,0,642.7837371826172,20,0.022960266,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.6,623159,647212,0.8,add,0.01,436210,6232,262144,20,8,0,0,0,0,0,0,0,612.3927688598633,0.085221009,0.060817139,0.0,0.0,0.0,141082797.70070168,1.0512710963760241,2.765965532,0,723.1216201782227,20,0.023813556,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.8,830879,862950,0.8,add,0.01,581615,8309,262144,20,8,0,0,0,0,0,0,0,786.7783355712891,0.077005837,0.053945418,0.0,0.0,0.0,250589559.82906824,1.0512710963760241,3.706336169,0,1142.0846252441406,20,0.022953379,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.71630859375,0.105613473,0.08114832,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.387402932,0,1172.8345642089844,20,0.024339608,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.1018295288086,0.089007978,0.065654292,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,3.973350614,0,1225.984230041504,20,0.023291777,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.05,727019,51930,262144,20,8,0,0,0,0,0,0,0,1308.720359802246,0.408162209,0.385420593,0.0,0.0,0.0,391685354.8626983,1.0512710963760241,4.8717684420000005,0,1397.2016830444336,20,0.02264536,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.15,727019,155790,262144,20,8,0,0,0,0,0,0,0,1682.512351989746,1.517843289,1.495270825,0.0,0.0,0.0,391648975.8281252,1.0512710963760241,6.801637878,0,1724.0131378173828,20,0.022519971,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.2,727019,207720,262144,20,8,0,0,0,0,0,0,0,2133.0044860839844,1.951874503,1.926562277,0.0,0.0,0.0,391572550.7481318,1.0512710963760241,6.182242496,0,2005.521354675293,20,0.025221082,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.3,727019,311580,262144,20,8,0,0,0,0,0,0,0,2398.009605407715,3.415148449,3.389479621,0.0,0.0,0.0,391681178.2745014,1.0512710963760241,7.037386544,0,1945.1100769042969,20,0.025570454,0.0
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,delete,0.01,1038599,10386,262144,20,8,0,0,0,0,0,0,0,1068.4673233032227,2.070322286,0.065779579,4.4434e-05,6.51e-07,0.058559829,799426078.4271293,1.0512710963760241,6.738249789,0,1805.4490432739258,20,0.022570549,2.717485967
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,delete,0.1,1038599,103860,262144,20,8,0,0,0,0,0,0,0,1414.4083404541016,3.592895908,1.066061486,1.2125e-05,4.09e-07,0.377315689,799426078.4271293,1.0512710963760241,6.692298355,0,1815.3161163330078,20,0.023714907,2.709254452
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,delete,0.15,1038599,155790,262144,20,8,0,0,0,0,0,0,0,1451.5877380371094,3.811790614,1.523595419,1.1809e-05,7.78e-07,0.43985604,799426078.4271293,1.0512710963760241,5.830163667,0,1715.775619506836,20,0.022421977,2.515179559
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,delete,0.2,1038599,207720,262144,20,8,0,0,0,0,0,0,0,1730.4856033325195,4.96457086,2.599729792,4.4753e-05,9.43e-07,0.769081865,799426078.4271293,1.0512710963760241,5.539237721,0,1435.5182189941406,20,0.023603926,2.744670606
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,delete,0.3,1038599,311580,262144,20,8,0,0,0,0,0,0,0,1901.4341201782227,6.300070336,3.706597264,4.8522e-05,6.89e-07,1.08317827,799426078.4271293,1.0512710963760241,4.037843585,0,1243.5011901855469,20,0.023277425,2.438056288
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.7921142578125,0.085915415,0.062103782,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.192475043,0,1430.4555969238281,20,0.023691878,0.0
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,10786878,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.7993621826172,0.087415484,0.063954869,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.225929102,0,1294.5985412597656,20,0.023350005,0.0
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,107868788,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.4738693237305,0.088828671,0.065513033,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.365567986,0,1541.4148635864258,20,0.023200338,0.0
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687882,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.8503341674805,0.086274815,0.061874727,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.492516766,0,1452.599967956543,20,0.024317767,0.0
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,10786878828,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.0381088256836,0.105418608,0.079586858,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.503735094,0,1091.8634948730469,20,0.025143692,0.0
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.7,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.274772644043,0.084010572,0.060698594,0.0,0.0,0.0,342730164.7151288,1.0512710963760241,4.269251985,0,1254.9989395141602,20,0.023217388,0.0
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.9900741577148,0.091624005,0.068094453,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.737124793,0,1458.4642181396484,20,0.023421627,0.0
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.9,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.3435516357422,0.084613219,0.060562889,0.0,0.0,0.0,440653352.5080263,1.0512710963760241,4.187957864,0,1107.368309020996,20,0.023955445,0.0
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.95,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.1219100952148,0.083921452,0.061377143,0.0,0.0,0.0,465134149.4563557,1.0512710963760241,4.685005688,0,1269.446762084961,20,0.022396153,0.0
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,4,0,0,0,0,0,0,0,907.1513977050781,0.131810048,0.109187415,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,7.25997828,0,1062.825080871582,20,0.022515418,0.0
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.7407913208008,0.108593619,0.084531265,0.0,0.0,0.0,391691758.61147773,1.0512710963760241,4.322796413,0,1628.4305801391602,20,0.023951223,0.0
