experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.0001,34,11,0.8,add,0.01,23,1,262144,20,40,12,0.7058823529411765,0.8275862068965517,12,0,5,0,231.82513427734375,0.570409369,0.001136552,0.000424744,1.527e-06,1.692759452,1.6595197309175567,1.0512710963760241,1.343888709,17,193.94117736816406,20,0.07457359,0.768412173
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.2,68497,23459,0.8,add,0.01,47947,685,262144,20,8,10,1.0,1.0,10,0,0,0,674.2299194335938,24.473431245,0.050517562,0.005597781,1.82e-06,0.607658514,6928169.705855509,1.0512710963760241,36.793217241,10,748.6174926757812,20,0.064949905,47.443584794
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.4,136994,46918,0.8,add,0.01,95895,1370,262144,20,8,10,1.0,1.0,10,0,0,0,861.798942565918,23.128205801,0.076391774,0.014780899,1.564e-06,0.589168378,27820456.336777825,1.0512710963760241,39.90504552,10,734.8249206542969,20,0.082364368,42.09474129
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.6,205491,70377,0.8,add,0.01,143843,2055,262144,20,8,10,1.0,1.0,10,0,0,0,1063.026222229004,25.351178718,0.117818895,0.007758736,1.584e-06,3.491282267,62463610.15974743,1.0512710963760241,47.049904352,10,946.8197937011719,20,0.049820119,46.736773576
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.8,273988,93837,0.8,add,0.01,191791,2740,262144,20,8,10,1.0,1.0,10,0,0,0,1262.5410995483398,27.495848862,0.141445032,0.003076269,1.584e-06,2.78800806,111075061.18553826,1.0512710963760241,51.53018949,10,1126.1998748779297,20,0.068415118,51.599862269
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1392.733528137207,28.38517169,0.213126472,0.00320815,2.546e-06,0.739831812,173451355.5703873,1.0512710963760241,58.303245782,10,1388.672592163086,20,0.068697453,51.661419832
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1380.2497253417969,27.886050605,0.210181301,0.002765249,1.738e-06,2.76068596,173451355.57038733,1.0512710963760241,55.530435033,10,1205.2420272827148,20,0.076306703,52.213028707
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.05,239739,17125,262144,20,8,10,1.0,1.0,10,0,0,0,1725.183609008789,29.406034764,1.235909251,0.002567946,1.422e-06,4.474071968,173468998.56055266,1.0512710963760241,55.609387043,10,1436.1332931518555,20,0.071351862,50.644420815
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.15,239740,51373,262144,20,8,10,1.0,1.0,10,0,0,0,2163.849868774414,33.892354382,3.554546265,0.009705509,1.817e-06,7.03007237,173723834.63896427,1.0512710963760241,61.156096119,10,1467.6550979614258,20,0.076475093,53.428579921
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.2,239739,68498,262144,20,8,10,1.0,1.0,10,0,0,0,2430.0322036743164,37.754857539,4.806588835,0.002575802,1.627e-06,4.540534732,173830292.92917803,1.0512710963760241,63.199039188,10,1395.4714813232422,20,0.06596608,57.444582835
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.3,239740,102746,262144,20,8,10,1.0,1.0,10,0,0,0,2789.0413131713867,38.982920358,7.576403193,0.070564531,2.178e-06,6.321276277,173552366.6065669,1.0512710963760241,63.834961649,10,1624.1525573730469,20,0.086449712,55.886234578
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.01,342486,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1334.6906433105469,31.212585733,0.179582921,0.003991477,2.068e-06,2.895169105,354630810.30861247,1.0512710963760241,66.357740836,10,1591.0537109375,20,0.077541792,57.277581528
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.1,342486,34249,262144,20,8,10,1.0,1.0,10,0,0,0,2027.891975402832,34.719855623,2.508465433,0.003224504,2.359e-06,4.854492249,354630810.30861247,1.0512710963760241,61.035473404,10,1493.027572631836,20,0.08387354,57.655288108
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.15,342486,51373,262144,20,8,10,1.0,1.0,10,0,0,0,2074.135971069336,35.519269428,3.612814394,0.003730439,1.2181e-05,7.519620133,354630810.30861247,1.0512710963760241,60.048066732,10,1628.259620666504,20,0.064706657,55.343967511
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.2,342486,68498,262144,20,8,10,1.0,1.0,10,0,0,0,2292.2959518432617,35.408281967,4.645654121,0.003260497,2.308e-06,4.781861058,354630810.30861247,1.0512710963760241,57.723629691,10,1330.3648300170898,20,0.073834839,56.558611118
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.3,342486,102746,262144,20,8,10,1.0,1.0,10,0,0,0,2441.633369445801,40.715785927,7.115164746,0.003211228,1.458e-06,7.080391242,354630810.30861247,1.0512710963760241,54.289049235,10,1280.1249771118164,20,0.070478767,59.34648229
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1393.5151672363281,27.743885402,0.175355754,0.004332419,1.413e-06,2.314440576,173451355.57038733,1.0512710963760241,56.935997567,10,1386.2634506225586,20,0.093795529,51.861658135
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,1172966,0.8,add,0.01,239740,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1423.609764099121,25.564324558,0.227419643,0.002379689,1.226e-06,4.066221638,173451355.5703873,1.0512710963760241,52.129647013,10,1266.4364395141602,20,0.06187899,46.128909456
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,11729666,0.8,add,0.01,239740,3425,262144,20,8,9,1.0,1.0,9,0,0,0,1436.0947952270508,19.378437006,0.173349982,0.002707002,1.212e-06,1.271095812,173451355.5703873,1.0512710963760241,48.24374737,9,1321.388298034668,20,0.069792,36.721943229
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296660,0.8,add,0.01,239740,3425,262144,20,8,9,1.0,1.0,9,0,0,0,1423.7433853149414,21.628778423,0.1770943,0.00358459,1.613e-06,3.002094417,173451355.57038733,1.0512710963760241,49.322156307,9,1295.8298416137695,20,0.07553923,39.486221064
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,1172966601,0.8,add,0.01,239740,3425,262144,20,8,9,1.0,1.0,9,0,0,0,1395.2536163330078,21.98995273,0.181112182,0.002562032,1.504e-06,1.078375553,173451355.57038733,1.0512710963760241,50.847585775,9,1267.873405456543,20,0.071689994,42.130478038
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.7,add,0.01,239740,3425,262144,20,8,14,1.0,1.0,14,0,0,0,1435.2724609375,27.038661485,0.178867236,0.002863402,3.56e-06,2.602791172,150193750.45049864,1.0512710963760241,53.623886194,14,1204.5836868286133,20,0.072125582,47.115477487
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1411.3450012207031,29.254827199,0.210587489,0.005710844,2.251e-06,2.408989783,173451355.5703873,1.0512710963760241,58.16815688,10,1444.9992980957031,20,0.081408455,55.113149754
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.9,add,0.01,239740,3425,262144,20,8,9,1.0,1.0,9,0,0,0,1406.5327224731445,30.877744728,0.173488172,0.003085502,2.351e-06,0.814288354,199014976.38379243,1.0512710963760241,53.682171624,9,1342.7863159179688,20,0.068025187,55.345538048
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.95,add,0.01,239740,3425,262144,20,8,7,1.0,1.0,7,0,0,0,1317.8016738891602,27.311293954,0.174041784,0.002879328,1.603e-06,0.765764984,212404441.13375238,1.0512710963760241,55.216775673,7,1326.6897888183594,20,0.074047404,52.471146884
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,4,10,1.0,1.0,10,0,0,0,1250.228775024414,51.917773497,0.330031055,0.004134295,2.675e-06,0.827942425,173451355.57038727,1.0512710963760241,101.404322795,10,1232.5736923217773,20,0.070068687,50.689374224
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1.0,1.0,10,0,0,0,1422.6779022216797,27.350164225,0.180833422,0.003708218,2.032e-06,2.235010863,173451355.5703873,1.0512710963760241,59.184477097,10,1236.8377380371094,20,0.064352809,51.142057366
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,12,10,1.0,1.0,10,0,0,0,1506.1779861450195,17.74628295,0.2021401,0.003230516,1.411e-06,2.783813128,173451355.5703873,1.0512710963760241,38.718042928,10,1209.8829040527344,20,0.068399944,46.251008298
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,16,10,1.0,1.0,10,0,0,0,1498.5296249389648,15.19181726,0.118081301,0.003205469,1.468e-06,3.82300996,173451355.5703873,1.0512710963760241,30.778215784,10,1572.6952819824219,20,0.072394274,53.810599392
MACHINES,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,20,10,1.0,1.0,10,0,0,0,1501.6820907592773,12.562235407,0.100237222,0.003395473,1.309e-06,3.78183182,173451355.5703873,1.0512710963760241,26.488325495,10,1839.5076446533203,20,0.079198486,56.356228539
