experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.0001,41,17,0.8,add,0.01,28,1,262144,20,40,0,0,0,0,0,0,0,276.7847213745117,0.117462638,0.000669765,0.0,0.0,0.0,1.3919000913347956,1.0512710963760241,0.140589696,0,236.19984436035156,20,0.116619221,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.2,83694,35023,0.8,add,0.01,58585,837,262144,20,8,1,1,1,1,0,0,0,793.2847213745117,15.550436571,0.040795604,0.002449557,9.44e-07,0.460639783,6094104.994802037,1.0512710963760241,27.973508451,1,786.5276031494141,20,0.087681689,25.990536639
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.4,167388,70047,0.8,add,0.01,117171,1674,262144,20,8,1,1,1,1,0,0,0,1041.2284622192383,15.971901574,0.119639892,0.001781133,7.12e-07,0.378579424,24425576.108155247,1.0512710963760241,31.067756815,1,946.9557876586914,20,0.075241197,30.338154593
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.6,251082,105070,0.8,add,0.01,175757,2511,262144,20,8,1,1,1,1,0,0,0,1261.0704879760742,15.021414319,0.133025195,0.00526218,6.27e-07,0.400627999,55003673.119652085,1.0512710963760241,37.264823026,1,1167.879867553711,20,0.068785493,28.658590904
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.8,334776,140094,0.8,add,0.01,234342,3348,262144,20,8,1,1,1,1,0,0,0,1481.7052459716797,15.533644144,0.14056865,0.002974782,1.16e-06,4.239597279,97731184.60226928,1.0512710963760241,39.698985374,1,1564.2185363769531,20,0.065006758,23.375616825
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,8,1,1,1,1,0,0,0,1669.864974975586,15.999786771,0.176496695,0.001533231,8.63e-07,4.119163892,152798480.76769137,1.0512710963760241,43.396936753,1,1668.7522354125977,20,0.065550467,23.830607495
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,8,1,1,1,1,0,0,0,1698.489112854004,19.059643316,0.218551671,0.001640146,8.78e-07,3.460199913,152798480.76769137,1.0512710963760241,46.820422104,1,1641.132080078125,20,0.061334818,33.048747284
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.05,292929,20924,262144,20,8,1,1,1,1,0,0,0,1986.1442184448242,21.00777904,1.271316855,0.00126254,9.68e-07,1.16008998,152801732.778595,1.0512710963760241,45.600579818,1,1647.458839416504,20,0.087046472,37.88987492
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.15,292929,62771,262144,20,8,1,1,1,1,0,0,0,3008.957275390625,21.662370327,3.932610194,0.001956907,9.65e-07,2.524222213,152726627.8056361,1.0512710963760241,48.323149103,1,1868.9060668945312,20,0.068547122,30.806252445
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.2,292929,83694,262144,20,8,1,1,1,1,0,0,0,3094.545234680176,25.926184129,4.801161747,0.001556658,1.73e-06,3.056960306,152722719.9031866,1.0512710963760241,47.019477093,1,2012.8746948242188,20,0.078171573,37.870092409
