experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,0.0001,11,1,0.8,add,0.01,6,1,262144,20,40,19,0.75,0.6857142857142857,12,7,4,0,48.166175842285156,0.160761923,0.001046062,0.000112254,1.814e-06,0.376832147,0.16858354058522432,1.0512710963760241,0.13676177,16,6.9802703857421875,20,0.075094556,0.089579472
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,add,0.01,80442,1150,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,451.08011627197266,16.306641188,0.14867718,0.00736771,3.37e-06,1.07843188,42716951.31942159,1.0512710963760241,21.697375731,50,279.5196304321289,20,0.085277887,30.470119129
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,add,0.05,80443,5746,262144,20,8,50,1.0,1.0,50,0,0,0,617.634407043457,16.055898085,0.583961182,0.007122193,2.782e-06,1.481989776,42717750.752543256,1.0512710963760241,23.848602278,50,275.0764389038086,20,0.070449357,28.892638275
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,add,0.15,80443,17238,262144,20,8,50,0.98,0.98,49,1,1,0,686.426139831543,17.59021133,1.29095275,0.007615434,3.729e-06,2.175682447,42684809.3072686,1.0512710963760241,24.397615447,50,345.0994567871094,20,0.072753302,29.337915034
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,add,0.2,80443,22984,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,764.3056945800781,17.893988002,1.654866969,0.007795947,3.262e-06,2.283793376,42697742.12484562,1.0512710963760241,24.891712536,50,341.26902770996094,20,0.073424498,29.559763491
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,add,0.3,80443,34476,262144,20,8,51,1.0,0.99009900990099,50,1,0,0,673.8046722412109,19.455215134,2.31733839,0.008376752,1.6604e-05,3.125803923,42710481.645820245,1.0512710963760241,23.716971638,50,317.1223678588867,20,0.076589271,29.949316169
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,delete,0.01,114919,1150,262144,20,8,51,1.0,0.99009900990099,50,1,0,0,416.54923248291016,15.721686633000001,0.138683268,0.006105914,3.463e-06,2.552993973,87138502.37131774,1.0512710963760241,25.380711204,50,338.33494567871094,20,0.072092318,28.253258652
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,delete,0.1,114919,11492,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,541.3393707275391,17.525532411,1.042342585,0.007101863,3.334e-06,2.007907,87138502.37131774,1.0512710963760241,24.332328101,50,268.6228942871094,20,0.085511862,30.165095905
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,delete,0.15,114919,17238,262144,20,8,51,1.0,0.99009900990099,50,1,0,0,645.2757110595703,18.210432806,1.404985348,0.007133695,3.393e-06,2.384803143,87138502.37131774,1.0512710963760241,24.885767734,50,274.49183654785156,20,0.075176826,31.007396468
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,delete,0.2,114919,22984,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,573.4727783203125,17.827754295,1.609277732,0.006792104,2.824e-06,2.877388264,87138502.37131774,1.0512710963760241,23.568972959,50,280.327880859375,20,0.075270645,28.481048636
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1.0,114919,13206,0.8,delete,0.3,114919,34476,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,602.9229354858398,19.54932697,2.444210444,0.004932774,3.868e-06,4.522683769,87138502.37131774,1.0512710963760241,22.105850908,50,258.40897369384766,20,0.072054091,29.274254278
