experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,0.0001,22,4,0.8,add,0.01,14,1,262144,20,40,15,0.8571428571428571,0.8275862068965518,12,3,2,0,312.49786376953125,0.275839192,0.001141526,0.003030338,2.116e-06,0.504194678,1.458478043415464,1.0512710963760241,0.646523125,14,272.1008987426758,20,0.070435111,0.602276369
SUPPORT,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,48814,0.8,add,0.01,154657,2210,262144,20,8,63,0.9682539682539683,0.9682539682539683,61,2,2,0,1603.1024856567383,119.469529716,0.279064453,0.003580107,2.41e-06,1.130863606,211823310.69008288,1.0512710963760241,157.248462386,63,1150.6684875488281,20,0.076010621,228.063938599
SUPPORT,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,488144,0.8,add,0.01,154657,2210,262144,20,8,61,1.0,1.0,61,0,0,0,1380.4786224365234,122.24298779,0.291553842,0.003792227,2.577e-06,1.177376394,211823310.69008288,1.0512710963760241,152.135121579,61,1158.5571212768555,20,0.069285951,234.91060551
SUPPORT,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,4881448,0.8,add,0.01,154657,2210,262144,20,8,50,1.0,1.0,50,0,0,0,1463.5243835449219,106.020648673,0.310607616,0.002989607,2.851e-06,0.71060635,211823310.69008288,1.0512710963760241,144.339619159,50,1152.875373840332,20,0.088903363,210.278038707
SUPPORT,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,48814483,0.8,add,0.01,154657,2210,262144,20,8,14,1.0,1.0,14,0,0,0,1616.3079528808594,50.557372156,0.34465347,0.001261474,1.808e-06,0.302466505,211823310.69008288,1.0512710963760241,139.155900034,14,1230.9398498535156,20,0.069423758,99.417413609
SUPPORT,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,488144836,0.8,add,0.01,154657,2210,262144,20,8,14,1.0,1.0,14,0,0,0,1566.3804473876953,53.247200089,0.270870415,0.001422053,1.426e-06,0.250799968,211823310.69008282,1.0512710963760241,139.634363898,14,1119.1166076660156,20,0.08144813,105.291623311
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,48814,0.7,add,0.01,154657,2210,262144,20,8,66,0.9696969696969697,0.9696969696969697,64,2,2,0,1429.4563369750977,121.659252764,0.276655703,0.009429052,3.086e-06,1.136917903,184525448.2121428,1.0512710963760241,157.716068598,66,1155.8193740844727,20,0.076233687,240.852210203
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,48814,0.8,add,0.01,154657,2210,262144,20,8,63,0.9841269841269841,0.9841269841269841,62,1,1,0,1506.3008041381836,118.314804464,0.274295668,0.005031051,2.616e-06,1.16089027,211823310.69008282,1.0512710963760241,155.49245241,63,1181.3022003173828,20,0.070164907,233.924797224
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,48814,0.9,add,0.01,154657,2210,262144,20,8,52,0.9615384615384616,0.9615384615384616,50,2,2,0,1567.7434997558594,129.661368761,0.309995668,0.004380691,3.37e-06,1.228965011,240002888.2518376,1.0512710963760241,161.649338054,52,1155.7808456420898,20,0.071601597,246.870970863
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/inspection_ml.csv,220940,17,1.0,220940,48814,0.95,add,0.01,154657,2210,262144,20,8,47,0.9787234042553191,0.9787234042553191,46,1,1,0,1443.731346130371,121.991660225,0.271310944,0.004374907,2.841e-06,1.273195468,254332107.96490178,1.0512710963760241,155.191945857,47,1171.2808532714844,20,0.073968077,241.298461239
