experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.0001,3,0,0.8,add,0.01,1,1,262144,20,40,0,0.0,0.0,0,0,124,0,44.13188934326172,0.002919405,4.28e-06,0.0,0.0,0.0,0.0,1.0512710963760241,0.21787131,124,4.514518737792969,20,0.002822121,0.0
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,65536,20,8,68,0.9848484848484849,0.9701492537313432,65,3,1,0,77.14279174804688,4.285671832,0.028736407,0.003799145,3.794e-06,1.527250568,10264853.505844744,1.0512710963760241,5.9526370669999995,66,35.49993133544922,20,0.090252342,6.774262115
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,131072,20,8,67,0.9538461538461539,0.9393939393939394,62,5,3,0,110.50556182861328,4.040750643,0.029296962,0.009701335,5.652e-06,1.836692933,7258347.521869323,1.0512710963760241,6.545475489,65,73.06498718261719,20,0.074700101,5.846076836
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,70,0.984375,0.9402985074626866,63,7,1,0,130.7904510498047,3.724560083,0.034917805,0.009570752,3.453e-06,1.506828228,5132426.752922372,1.0512710963760241,6.741430012,64,46.65753936767578,20,0.074231349,5.566610924
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,524288,20,8,66,0.9545454545454546,0.9545454545454546,63,3,3,0,167.66736602783203,3.40333587,0.032834604,0.014168303,4.086e-06,1.248215912,3629173.7609346616,1.0512710963760241,7.072746572,66,53.809303283691406,20,0.099367806,5.177991823
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,1048576,20,8,69,0.9846153846153847,0.9552238805970149,64,5,1,0,249.14511108398438,3.744054224,0.021460581,0.008878806,3.549e-06,1.410141807,2566213.3764611855,1.0512710963760241,6.52186397,65,52.173553466796875,20,0.072052748,5.808709282
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,2097152,20,8,72,0.9846153846153847,0.9343065693430657,64,8,1,0,409.35485076904297,3.531189783,0.021165364,0.021215296,4.358e-06,1.416471865,1814586.880467331,1.0512710963760241,7.153525746,65,63.478179931640625,20,0.071611507,5.371533865
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,4194304,20,8,69,0.9402985074626866,0.9264705882352942,63,6,4,0,725.271110534668,3.311646027,0.026788656,0.011728633,4.032e-06,1.64792101,1283106.6882305928,1.0512710963760241,6.891053378,67,55.3931884765625,20,0.068081137,4.621961039
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,8388608,20,8,68,0.9264705882352942,0.9264705882352942,63,5,5,0,1349.8994369506836,3.451155179,0.027019275,0.020584192,4.398e-06,1.735060541,907293.4402336654,1.0512710963760241,6.430762462,68,68.7265396118164,20,0.092965503,4.888877595
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,16777216,20,8,69,0.984375,0.9473684210526315,63,6,1,0,2631.675811767578,3.55236509,0.037636637,0.021093425,4.722e-06,1.872673989,641553.3441152965,1.0512710963760241,6.768359845,64,70.89860534667969,20,0.083680662,4.871864529
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,33554432,20,8,69,0.953125,0.9172932330827068,61,8,3,0,5203.372039794922,3.366968154,0.026810962,0.008121291,4.351e-06,1.731717137,453646.7201168327,1.0512710963760241,6.899401524,64,51.85906219482422,20,0.07553533,4.56962044
