experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.2,207719,215737,0.8,add,0.01,145402,2078,262144,20,8,0,0,0,0,0,0,0,332.53211212158203,0.022960858,0.016140935,0,0.0,0.0,15663539.889194295,1.0512710963760241,0.906030148,0,229.1880340576172,20,0.006721442,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.4,415439,431475,0.8,add,0.01,290806,4155,262144,20,8,0,0,0,0,0,0,0,484.44944763183594,0.035057992,0.027825231,0,0.0,0.0,62789764.74623502,1.0512710963760241,2.059711235,0,756.9102325439453,20,0.007121891,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.6,623159,647212,0.8,add,0.01,436210,6232,262144,20,8,0,0,0,0,0,0,0,612.5034637451172,0.046219492,0.040277993,0,0.0,0.0,141082797.70070168,1.0512710963760241,3.122014657,0,839.4969482421875,20,0.005846645,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.8,830879,862950,0.8,add,0.01,581615,8309,262144,20,8,0,0,0,0,0,0,0,787.0999069213867,0.061829885,0.055078967,0,0.0,0.0,250589559.82906824,1.0512710963760241,3.5680175739999997,0,1182.4667510986328,20,0.006647504,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,906.8373489379883,0.069405091,0.063356003,0,0.0,0.0,391691758.61147773,1.0512710963760241,3.6091622450000003,0,1538.9977111816406,20,0.005960994,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.05322265625,0.068857443,0.062756908,0,0.0,0.0,391691758.61147773,1.0512710963760241,4.385080145,0,1509.8050384521484,20,0.005984644,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.05,727019,51930,262144,20,8,0,0,0,0,0,0,0,1309.103271484375,0.346356451,0.339508134,0,0.0,0.0,391685354.8626983,1.0512710963760241,4.214952071,0,1429.1851425170898,20,0.006767528,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.15,727019,155790,262144,20,8,0,0,0,0,0,0,0,1793.3893127441406,1.667438908,1.661343694,0,0.0,0.0,391648975.8281252,1.0512710963760241,6.210184816,0,1606.8354187011719,20,0.006002839,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.2,727019,207720,262144,20,8,0,0,0,0,0,0,0,2073.91202545166,1.966463257,1.962993099,0,0.0,0.0,391572550.7481318,1.0512710963760241,7.35439504,0,1749.4095458984375,20,0.00338804,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.3,727019,311580,262144,20,8,0,0,0,0,0,0,0,2495.7437286376953,3.995886042,3.988940318,0,0.0,0.0,391681178.2745014,1.0512710963760241,7.711341232,0,2042.4804763793945,20,0.006806182,0.0
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,delete,0.01,1038599,10386,262144,20,8,0,0,0,0,0,0,0,1506.5073699951172,2.592590135,0.088329521,0,4.58e-07,0.068908209,799426078.4271293,1.0512710963760241,7.007001272,0,1797.1482620239258,20,0.006926034,4.925362956
