experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.2,68497,23459,0.8,add,0.01,47947,685,262144,20,8,10,1,1.0,10,0,0,0,643.4102401733398,34.664444045,0.049189209,0,1.689e-06,0.516454924,6928169.705855509,1.0512710963760241,37.629350325,10,682.7205581665039,20,0.071412232,63.553701337
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.4,136994,46918,0.8,add,0.01,95895,1370,262144,20,8,10,1,1.0,10,0,0,0,859.7884979248047,42.239076206,0.077411405,0,1.684e-06,3.104072273,27820456.33677782,1.0512710963760241,43.218187034,10,811.0917358398438,20,0.067734081,78.417764399
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.6,205491,70377,0.8,add,0.01,143843,2055,262144,20,8,10,1,1.0,10,0,0,0,1064.6839752197266,45.304966833,0.108780215,0,1.072e-06,0.884856478,62463610.15974743,1.0512710963760241,46.13815793,10,1083.7677154541016,20,0.063587015,85.00111889
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.8,273988,93837,0.8,add,0.01,191791,2740,262144,20,8,10,1,1.0,10,0,0,0,1163.5483856201172,54.015468546,0.144487559,0,1.824e-06,0.667624,111075061.18553826,1.0512710963760241,54.325727734,10,1261.5124130249023,20,0.063036061,103.679459856
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1.0,10,0,0,0,1421.5843505859375,62.002437782,0.176513037,0,1.976e-06,0.739549228,173451355.5703873,1.0512710963760241,54.545086151,10,1149.2424621582031,20,0.067745711,122.304610959
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1.0,10,0,0,0,1333.2228393554688,58.62939034,0.217441299,0,1.94e-06,0.729189087,173451355.57038733,1.0512710963760241,53.317928015,10,1191.0126266479492,20,0.060322118,113.621845095
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.05,239739,17125,262144,20,8,10,1,1.0,10,0,0,0,1754.4816055297852,61.066923774,1.271556287,0,2.162e-06,3.619563473,173468998.56055266,1.0512710963760241,56.535846054,10,1318.2052536010742,20,0.066783292,114.189932249
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.15,239740,51373,262144,20,8,10,1,1.0,10,0,0,0,2306.4607162475586,68.216663742,3.547480962,0,2.801e-06,3.623263856,173723834.63896427,1.0512710963760241,63.955874702,10,1542.2542343139648,20,0.074029862,123.355376071
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.2,239739,68498,262144,20,8,10,1,1.0,10,0,0,0,2655.806625366211,74.039545764,4.888261418,0,1.842e-06,4.589769616,173830292.92917803,1.0512710963760241,61.935511029,10,1547.881103515625,20,0.064372312,129.467782245
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.3,239740,102746,262144,20,8,10,1,1.0,10,0,0,0,2705.360511779785,80.062365396,7.319182287,0,1.736e-06,6.131111343,173552366.6065669,1.0512710963760241,62.545560475,10,1658.119270324707,20,0.063940118,138.368468238
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.01,342486,3425,262144,20,8,11,1,0.9523809523809523,10,1,0,0,1304.5875244140625,61.488606412,0.191939983,0,1.831e-06,2.772796429,354630810.30861247,1.0512710963760241,64.7850511,10,1663.4470825195312,20,0.069000108,118.523234023
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.1,342486,34249,262144,20,8,10,1,1.0,10,0,0,0,1830.389289855957,65.563268056,2.66002811,0,1.863e-06,6.529124998,354630810.30861247,1.0512710963760241,61.256327992,10,1444.1220932006836,20,0.068451131,117.486405862
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.15,342486,51373,262144,20,8,10,1,1.0,10,0,0,0,1900.150405883789,64.73747911,3.617531178,0,1.748e-06,4.314891186,354630810.30861247,1.0512710963760241,60.786205281,10,1642.7958145141602,20,0.07121167,117.107688382
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.2,342486,68498,262144,20,8,10,1,1.0,10,0,0,0,2033.1301651000977,66.782061596,4.80148691,0,2.668e-06,5.276802416,354630810.30861247,1.0512710963760241,57.746357336,10,1479.281982421875,20,0.067352202,117.567816199
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.3,342486,102746,262144,20,8,10,1,1.0,10,0,0,0,2073.2175674438477,70.208875963,7.446863135,0,1.369e-06,7.188764627,354630810.30861247,1.0512710963760241,56.738598073,10,1242.9631423950195,20,0.076891878,117.914965227
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1.0,10,0,0,0,1392.8457412719727,62.862073967,0.189639939,0,1.979e-06,0.743691352,173451355.5703873,1.0512710963760241,57.732637836,10,1294.9352264404297,20,0.075660019,121.982036438
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,1172966,0.8,add,0.01,239740,3425,262144,20,8,10,1,1.0,10,0,0,0,1378.5301971435547,50.165111434,0.180209677,0,2.3e-06,0.605098203,173451355.5703873,1.0512710963760241,50.689633006,10,1312.7360916137695,20,0.081031505,96.497371035
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,11729666,0.8,add,0.01,239740,3425,262144,20,8,9,1,1.0,9,0,0,0,1438.7112274169922,45.994132147,0.199812366,0,1.594e-06,0.501803526,173451355.5703873,1.0512710963760241,50.492098914,9,1288.3657608032227,20,0.06958026,90.722143729
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296660,0.8,add,0.01,239740,3425,262144,20,8,9,1,1.0,9,0,0,0,1392.9754028320312,44.738634146,0.17351358,0,8.15e-07,0.498556955,173451355.5703873,1.0512710963760241,47.33487381,9,1426.8675384521484,20,0.078234696,88.259926948
