experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.2,83694,35023,0.8,add,0.01,58585,837,262144,20,8,1,1,1,1,0,0,0,798.5625305175781,25.5369578,0.04097306,0,8.18e-07,0.417731516,6094104.994802036,1.0512710963760241,31.317005189,1,808.7963256835938,20,0.064976373,50.017675323
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.4,167388,70047,0.8,add,0.01,117171,1674,262144,20,8,1,1,1,1,0,0,0,1062.3002471923828,28.533765998,0.074848322,0,7.88e-07,1.3256759,24425576.108155243,1.0512710963760241,31.645327623,1,1259.4958267211914,20,0.07115902,55.082914723
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.6,251082,105070,0.8,add,0.01,175757,2511,262144,20,8,1,1,1,1,0,0,0,1246.3657302856445,32.013111861,0.157421095,0,8.24e-07,0.40511949,55003673.119652085,1.0512710963760241,35.93604893,1,1208.2012786865234,20,0.061706566,62.400248775
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.8,334776,140094,0.8,add,0.01,234342,3348,262144,20,8,1,1,1,1,0,0,0,1466.3165817260742,37.319022576,0.141791473,0,9.65e-07,0.407332828,97731184.60226928,1.0512710963760241,39.228189156,1,1561.0728225708008,20,0.064731405,72.773857525
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,8,1,1,1,1,0,0,0,1670.7059707641602,41.052871151,0.174893517,0,9.8e-07,0.452261116,152798480.76769134,1.0512710963760241,44.578590669,1,1663.7264556884766,20,0.072317825,80.836224897
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,8,1,1,1,1,0,0,0,1673.438705444336,43.074929519,0.172458077,0,8.78e-07,0.49308466,152798480.76769134,1.0512710963760241,44.558089079,1,1710.0940856933594,20,0.086335421,84.795393995
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.05,292929,20924,262144,20,8,1,1,1,1,0,0,0,2133.682144165039,41.30962613,1.471146227,0,8.04e-07,3.198303905,152801732.778595,1.0512710963760241,45.514747439,1,1820.486083984375,20,0.068317241,75.40685044
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.15,292929,62771,262144,20,8,1,1,1,1,0,0,0,2878.070381164551,47.491229479,4.05971208,0,9.05e-07,7.568047192,152726627.8056361,1.0512710963760241,47.153618292,1,1762.7043685913086,20,0.069645785,78.829953906
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.2,292929,83694,262144,20,8,1,1,1,1,0,0,0,3029.5102462768555,49.263371498,5.068242919,0,9.27e-07,3.481290585,152722719.9031866,1.0512710963760241,46.911914561,1,1789.8742218017578,20,0.062462845,84.469007506
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.3,292929,125542,262144,20,8,1,1,1,1,0,0,0,3771.997978210449,53.992840767,7.95349131,0,9.84e-07,4.395261756,152783799.06731272,1.0512710963760241,49.508371278,1,1979.166389465332,20,0.076258202,87.171092211
