experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.2,6512,212,0.8,add,0.01,4557,66,262144,20,8,65,0.9838709677419355,0.9606299212598426,61,4,1,0,22.804916381835938,5.108062911,0.01239642,0,3.087e-06,1.028057289,205080.09696206666,1.0512710963760241,4.5715913,62,12.817291259765625,20,0.092995144,8.853394487
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.4,13024,424,0.8,add,0.01,9116,131,262144,20,8,68,0.9692307692307692,0.9473684210526316,63,5,2,0,38.938255310058594,6.324037132,0.012398051,0,3.448e-06,1.381859997,822561.1345121445,1.0512710963760241,4.813574331,65,22.936317443847656,20,0.077249181,11.03697809
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.6,19536,636,0.8,add,0.01,13674,196,262144,20,8,64,0.90625,0.90625,58,6,6,0,103.83842468261719,7.001190656,0.019123667,0,2.998e-06,0.962947026,1847131.194666016,1.0512710963760241,5.664964886,64,52.31492614746094,20,0.080765802,12.681124319
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.8,26048,848,0.8,add,0.01,18233,261,262144,20,8,66,0.953125,0.9384615384615383,61,5,3,0,59.11719512939453,7.809948225,0.021048323,0,3.369e-06,1.015949332,3283764.10221365,1.0512710963760241,5.636940199,64,62.77215576171875,20,0.083266631,14.194712673
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,71,0.9696969696969697,0.9343065693430657,64,7,2,0,129.67679595947266,9.524864336,0.030716832,0,3.398e-06,1.264458264,5132426.752922372,1.0512710963760241,6.687775262,66,59.15812683105469,20,0.085052024,17.13629987
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,65536,20,8,66,0.9538461538461539,0.9465648854961831,62,4,3,0,71.73580932617188,8.992778801,0.020524573,0,3.8e-06,1.398869104,10264853.505844742,1.0512710963760241,6.828732199,65,62.356536865234375,20,0.078514576,16.159164495
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,131072,20,8,68,0.9696969696969697,0.955223880597015,64,4,2,0,88.2029800415039,9.422600588,0.032172227,0,3.18e-06,1.686003374,7258347.521869323,1.0512710963760241,6.415545459,66,72.81819915771484,20,0.075873921,16.921003369
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,69,0.984375,0.9473684210526315,63,6,1,0,129.51915740966797,9.253726652,0.025348862,0,3.204e-06,1.220413749,5132426.752922371,1.0512710963760241,6.963859495,64,68.69538879394531,20,0.081559471,17.047290932
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,524288,20,8,67,0.9402985074626866,0.9402985074626865,63,4,4,0,170.9161834716797,9.364289475,0.023439207,0,4.013e-06,1.603950686,3629173.7609346616,1.0512710963760241,6.842026166,67,47.640892028808594,20,0.070685276,16.875841061
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,1048576,20,8,70,0.9545454545454546,0.9264705882352942,63,7,3,0,223.75546264648438,9.590534973,0.026606809,0,3.157e-06,1.011322048,2566213.3764611855,1.0512710963760241,6.081670486,66,71.5291976928711,20,0.080095803,17.597424107
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,1,8,69,0.9545454545454546,0.9333333333333332,63,6,3,0,90.59880828857422,9.558858878,0.023218996,0,2.807e-06,1.164589206,5132426.752922371,2.718281828459045,6.437421991,66,48.406517028808594,20,0.087762234,17.410967535
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,3,8,68,0.9850746268656716,0.9777777777777777,66,2,1,0,94.55296325683594,9.008991522,0.026092281,0,3.153e-06,1.123986211,5132426.752922371,1.3956124250860895,6.327133593,67,72.09660339355469,20,0.069393374,16.490538958
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,5,8,68,0.984375,0.9545454545454545,63,5,1,0,100.85768127441406,9.182030521,0.028212249,0,3.372e-06,1.385663064,5132426.752922371,1.2214027581601699,6.662845173,64,70.84616088867188,20,0.070152737,16.670271303
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,7,8,70,0.9538461538461539,0.9185185185185185,62,8,3,0,98.1466064453125,8.820453635,0.02312,0,3.399e-06,1.098171504,5132426.752922372,1.1535649948951077,7.086354463,65,66.96167755126953,20,0.072863705,16.131195506
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,9,8,69,0.9850746268656716,0.9705882352941176,66,3,1,0,109.46290588378906,9.374588838,0.025960385,0,3.445e-06,1.413419073,5132426.752922371,1.1175190687418637,6.983992998,67,54.375022888183594,20,0.078574769,16.813616881
