experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,798.5625305175781,184.91776466599998,0.12682572799999997,0,7.753e-06,2.882757061,15663539.889194297,1.051271096376024,185.058083426,89,808.7963256835938,80,0.229062696,353.104952904
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1062.3002471923828,197.33310246599999,0.21713918299999999,0,7.715e-06,6.520484574,62789764.74623502,1.051271096376024,195.093985531,89,1259.4958267211914,80,0.23390217800000002,382.81693817300004
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,8,90,0.75,0.75,22.5,0.0,0.0,0.0,1246.3657302856443,196.048069322,0.35482956800000004,0,5.409e-06,3.8805165720000003,141082797.70070168,1.051271096376024,203.97341303299999,90,1208.2012786865234,80,0.211332762,381.70073067600003
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,8,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,1466.3165817260742,213.62628669400002,0.42419147799999996,0,6.979e-06,2.114727545,250589559.82906824,1.051271096376024,224.959391365,90,1561.0728225708008,80,0.22958342400000004,419.072119993
SCALE,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1670.7059707641602,229.325352023,0.486421342,0,7.182e-06,2.7095349530000004,391691758.6114777,1.051271096376024,224.676350834,89,1663.7264556884766,80,0.23144047199999998,453.539323262
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1673.438705444336,224.656857528,0.566738169,0,7.203e-06,2.571051102,391691758.6114777,1.051271096376024,218.198204477,89,1710.0940856933594,80,0.24046565999999997,431.790619516
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,2133.682144165039,229.776693704,3.491420283,0,6.542e-06,8.328913997,391685354.8626983,1.051271096376024,226.866177524,89,1820.486083984375,80,0.216318097,441.185543017
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,8,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,2878.070381164551,248.27745329299998,10.362030022999999,0,7.821e-06,13.42415146,391648975.8281252,1.051271096376024,247.436254137,90,1762.7043685913086,80,0.219453658,459.25412623399995
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,3029.5102462768555,249.91034879199998,13.471691443000001,0,6.2860000000000005e-06,10.534493871,391572550.7481318,1.051271096376024,241.67762933900002,89,1789.8742218017578,80,0.217960492,457.117089659
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.3,1288807,552348,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,3771.997978210449,273.418230564,21.242941214000002,0,6.96e-06,16.84116949,391681178.2745014,1.051271096376024,239.92507215,89,2042.4804763793943,80,0.245390842,485.756118011
