experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.2,8319,346,0.8,add,0.01,5822,84,262144,20,8,78,1.0,1.0,78,0,0,0,360.4120178222656,124.693401963,0.020522524,0,5.246e-06,1.948570621,299761.0192461745,1.0512710963760241,115.205697764,78,321.1342544555664,20,0.085952649,239.533576244
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.4,16639,692,0.8,add,0.01,11646,167,262144,20,8,78,1.0,1.0,78,0,0,0,380.2225112915039,126.52520227,0.037054225,0,5.243e-06,2.090736401,1200399.4484648306,1.0512710963760241,118.170759639,78,299.3668975830078,20,0.087887186,249.316259051
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.6,24959,1038,0.8,add,0.01,17470,250,262144,20,8,79,1.0,1.0,79,0,0,0,423.89791107177734,118.683771136,0.048350265,0,3.513e-06,2.590540604,2697736.4050958916,1.0512710963760241,118.777191516,79,322.19972229003906,20,0.080192536,234.299363011
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.8,33279,1384,0.8,add,0.01,23295,333,262144,20,8,78,0.9873417721518988,0.9936305732484078,78,0,1,0,468.6539840698242,122.229965687,0.082833479,0,4.19e-06,1.039770717,4785656.256274844,1.0512710963760241,127.837456901,79,370.472412109375,20,0.095168454,242.618802612
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,8,78,1.0,1.0,78,0,0,0,502.12633514404297,126.200637999,0.071658785,0,4.226e-06,1.517724609,7480684.429756107,1.0512710963760241,121.943511769,78,342.52648162841797,20,0.085415942,250.398487406
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,8,78,1.0,1.0,78,0,0,0,512.4093627929688,122.883680226,0.114081885,0,4.385e-06,1.348777355,7480684.429756107,1.0512710963760241,115.937107238,78,348.60001373291016,20,0.087823477,233.373380426
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.05,29119,2080,262144,20,8,79,1.0,0.9936305732484078,78,1,0,0,496.5474548339844,127.053787349,0.409209635,0,3.576e-06,1.511046619,7476064.065062628,1.0512710963760241,120.60063196,78,358.38011169433594,20,0.074450036,251.588760328
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.15,29119,6240,262144,20,8,78,0.9873417721518988,0.9936305732484078,78,0,1,0,500.56807708740234,130.902121164,1.093493287,0,4.115e-06,2.232840412,7472595.123806473,1.0512710963760241,130.116576327,79,377.2345886230469,20,0.069775172,257.068796257
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.2,29119,8320,262144,20,8,78,1.0,1.0,78,0,0,0,536.2786102294922,124.640968273,1.552194007,0,3.517e-06,2.46343367,7480501.151029784,1.0512710963760241,125.475808709,78,359.3122863769531,20,0.087737295,243.180299908
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.3,29119,12480,262144,20,8,79,1.0,0.9936305732484078,78,1,0,0,544.5087509155273,135.367138359,1.981327299,0,4.24e-06,6.314796391,7480629.172531512,1.0512710963760241,120.159799165,78,392.6334228515625,20,0.09838634,260.216557562
