experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.01,80442,1150,262144,20,8,50,1.0,1.0,50,0,0,0,447.4885787963867,28.50360903,0.143194801,0,4.065e-06,1.683561759,42716951.31942159,1.0512710963760241,22.206159516,50,272.1510009765625,20,0.084756012,53.549558837
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.05,80443,5746,262144,20,8,50,1.0,1.0,50,0,0,0,383.29369354248047,29.82466512,0.649711617,0,3.494e-06,1.453983874,42717750.752543256,1.0512710963760241,24.031515878,50,290.2384948730469,20,0.092698728,55.534224083
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.15,80443,17238,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,575.9006271362305,30.01646703,1.282629353,0,3.395e-06,2.007606598,42684809.3072686,1.0512710963760241,24.754996076,50,310.42337799072266,20,0.099348748,54.600859468
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.2,80443,22984,262144,20,8,50,1.0,1.0,50,0,0,0,645.4095001220703,31.55529693,1.665064188,0,3.537e-06,2.354912419,42697742.124845624,1.0512710963760241,25.349754755,50,313.6825485229492,20,0.088688576,57.092923335
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.3,80443,34476,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,627.8805618286133,33.080876163,2.210852613,0,4e-06,2.682549661,42710481.645820245,1.0512710963760241,24.348821304,50,352.51136779785156,20,0.0826198,56.929158929
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.01,114919,1150,262144,20,8,50,0.98,0.98,49,1,1,0,417.447998046875,27.740251117,0.147965092,0,3.353e-06,1.204464354,87138502.37131774,1.0512710963760241,25.364706181,50,286.8830032348633,20,0.072930312,53.526096138
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.1,114919,11492,262144,20,8,51,1.0,0.99009900990099,50,1,0,0,497.46185302734375,30.159027144,0.968939945,0,2.783e-06,2.160446266,87138502.37131774,1.0512710963760241,23.7545177,50,287.3667221069336,20,0.085906309,54.296331604
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.15,114919,17238,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,312.9919967651367,28.737442726,1.311640602,0,4.217e-06,2.658897566,87138502.37131774,1.0512710963760241,24.348497052,50,264.8215637207031,20,0.070514612,51.173838367
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.2,114919,22984,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,492.52264404296875,29.543525726,1.684121695,0,3.647e-06,2.781728625,87138502.37131774,1.0512710963760241,22.975562935,50,304.9115905761719,20,0.070107071,52.056791706
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.3,114919,34476,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,400.0979537963867,31.451639935,2.262163742,0,2.537e-06,3.053026232,87138502.37131774,1.0512710963760241,22.916608474,50,251.3076171875,20,0.07719103,53.957039563
