experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,8,26,1,1,26,0,0,0,3776.442543029785,194.570124448,0.591566891,0,3.009e-06,1.444607669,6357368999.185124,1.0512710963760241,114.370631385,26,5614.185508728027,20,0.066771215,370.106421278
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.05,1177131,84081,262144,20,8,26,1,1,26,0,0,0,6125.7305908203125,203.001321686,3.430021057,0,1.99e-06,3.078277137,6357199823.049039,1.0512710963760241,118.342012822,26,4925.443244934082,20,0.068425911,377.26020748
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.15,1177130,252243,262144,20,8,26,1,1,26,0,0,0,8207.011047363281,218.874060277,8.805502637,0,2.621e-06,6.59084525,6356203620.12694,1.0512710963760241,131.854967081,26,5977.013717651367,20,0.074008787,397.927835141
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.2,1177130,336324,262144,20,8,26,1,1,26,0,0,0,8315.062217712402,227.369901114,11.744678325,0,2.223e-06,8.450515974,6356891739.439737,1.0512710963760241,136.355253746,26,6342.718544006348,20,0.079325259,414.15361655
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.3,1177131,504485,262144,20,8,26,1,1,26,0,0,0,9290.519454956055,244.734424555,17.774291854,0,3.43e-06,12.081972586,6357312939.266006,1.0512710963760241,144.509751433,26,6504.104141235352,20,0.076036788,426.710749654
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.01,1681616,16817,262144,20,8,26,1,1,26,0,0,0,3245.496406555176,163.711516693,0.54761388,0,3.163e-06,1.524659629,12972898678.21167,1.0512710963760241,141.894491967,26,6488.092330932617,20,0.068796484,311.093007647
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.1,1681616,168162,262144,20,8,26,1,1,26,0,0,0,6133.86930847168,176.239688332,6.318825011,0,2.582e-06,4.749315616,12972898678.21167,1.0512710963760241,133.125941429,26,6062.490234375,20,0.063157638,324.566574048
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.15,1681616,252243,262144,20,8,26,1,1,26,0,0,0,7024.8789138793945,182.013220106,9.169701473,0,1.614e-06,6.681205588,12972898678.211668,1.0512710963760241,134.552749831,26,5858.524131774902,20,0.071629503,324.900272377
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.2,1681616,336324,262144,20,8,26,1,1,26,0,0,0,6945.525856018066,182.050526486,12.220157212,0,2.926e-06,8.156580648,12972898678.21167,1.0512710963760241,121.913911201,26,5681.113586425781,20,0.083920715,320.631798238
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.3,1681616,504485,262144,20,8,26,1,1,26,0,0,0,7416.126594543457,189.09851689,17.651606724,0,2.883e-06,13.157087177,12972898678.21167,1.0512710963760241,113.710568466,26,5375.929779052734,20,0.068974037,318.15596022
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,4,26,1,1,26,0,0,0,3754.3127212524414,363.211151357,1.043003907,0,2.301e-06,1.880679578,6357368999.185124,1.0512710963760241,222.607989679,26,3907.9285888671875,20,0.07190939,360.215026211
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,8,26,1,1,26,0,0,0,3783.2300338745117,188.129152481,0.593749385,0,1.9e-06,1.464701568,6357368999.185124,1.0512710963760241,115.29704649,26,4833.998390197754,20,0.075156173,362.379791183
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,12,26,1,1,26,0,0,0,3805.2694778442383,101.67440338,0.430796083,0,9.663e-06,2.210965634,6357368999.185124,1.0512710963760241,69.09600162,26,4552.77278137207,20,0.070208363,279.750703692
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,16,26,1,1,26,0,0,0,3859.7817764282227,62.683958766,0.345349537,0,2.461e-06,2.133642948,6357368999.185124,1.0512710963760241,48.401240865,26,5233.544960021973,20,0.064444604,224.528075687
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,20,26,1,1,26,0,0,0,3836.934524536133,47.004062085,0.291583457,0,1.955e-06,2.220844636,6357368999.185124,1.0512710963760241,39.993290858,26,5065.698226928711,20,0.07158537,198.986358752
