experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.2,207719,215737,0.8,add,0.01,145402,2078,262144,20,8,0,0,0,0,0,0,0,332.3244400024414,0.020704954,0.014014621,0,0.0,0.0,15663539.889194295,1.0512710963760241,1.077455383,0,518.5424499511719,20,0.006581494,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.4,415439,431475,0.8,add,0.01,290806,4155,262144,20,8,0,0,0,0,0,0,0,484.5710144042969,0.035492624,0.028458696,0,0.0,0.0,62789764.74623502,1.0512710963760241,1.892032971,0,621.5578994750977,20,0.006934134,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.6,623159,647212,0.8,add,0.01,436210,6232,262144,20,8,0,0,0,0,0,0,0,612.9427871704102,0.046956528,0.040778968,0,0.0,0.0,141082797.70070168,1.0512710963760241,2.405465753,0,838.3747711181641,20,0.006076491,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,0.8,830879,862950,0.8,add,0.01,581615,8309,262144,20,8,0,0,0,0,0,0,0,786.7097396850586,0.058369969,0.051591775,0,0.0,0.0,250589559.82906824,1.0512710963760241,3.704376841,0,1370.3452377319336,20,0.006669895,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.1875610351562,0.068949718,0.062696355,0,0.0,0.0,391691758.61147773,1.0512710963760241,4.815452828,0,1552.654541015625,20,0.006130132,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.01,727019,10386,262144,20,8,0,0,0,0,0,0,0,907.1553955078125,0.069201247,0.063066725,0,0.0,0.0,391691758.61147773,1.0512710963760241,4.246548913,0,1304.4482116699219,20,0.006034609,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.05,727019,51930,262144,20,8,0,0,0,0,0,0,0,1308.6567687988281,0.361601056,0.353196173,0,0.0,0.0,391685354.8626983,1.0512710963760241,4.655109888,0,1335.0099182128906,20,0.008294663,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.15,727019,155790,262144,20,8,0,0,0,0,0,0,0,1675.7412872314453,1.830210587,1.82400283,0,0.0,0.0,391648975.82812524,1.0512710963760241,6.319109872,0,1501.5473175048828,20,0.006104262,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.2,727019,207720,262144,20,8,0,0,0,0,0,0,0,2140.8761444091797,2.003345358,1.997324025,0,0.0,0.0,391572550.7481318,1.0512710963760241,6.848063058,0,1876.3734741210938,20,0.005916824,0.0
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author2Paper_ml.csv,1038599,4,1.0,1038599,1078687,0.8,add,0.3,727019,311580,262144,20,8,0,0,0,0,0,0,0,2375.2736282348633,3.462885911,3.455669748,0,0.0,0.0,391681178.2745013,1.0512710963760241,6.858131306,0,1765.9912490844727,20,0.007097154,0.0
