experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.2,68497,23459,0.8,add,0.01,47947,685,262144,20,8,10,1,1,10,0,0,0,698.1058883666992,32.714652122,0.060652263,0,0.309565908,2.442e-06,6928169.705855512,1.0512710963760241,37.553480693,10,706.190673828125,20,0.072941094,62.638185136
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.4,136994,46918,0.8,add,0.01,95895,1370,262144,20,8,10,1,1,10,0,0,0,861.0116348266602,38.16866659,0.078014381,0,1.236227287,5.033e-06,27820456.336777825,1.0512710963760241,44.701986535,10,869.4411468505859,20,0.068380528,71.989691633
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.6,205491,70377,0.8,add,0.01,143843,2055,262144,20,8,10,1,1,10,0,0,0,980.6005401611328,46.92843914,0.113004519,0,1.517587593,2.189e-06,62463610.15974743,1.0512710963760241,43.091205473,10,911.4710235595703,20,0.072957114,88.960326971
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,0.8,273988,93837,0.8,add,0.01,191791,2740,262144,20,8,10,1,1,10,0,0,0,1182.1781616210938,54.623024406,0.143747484,0,0.509197059,2.493e-06,111075061.18553826,1.0512710963760241,46.487223039,10,1199.2460021972656,20,0.067546829,106.787806828
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1,10,0,0,0,1406.1140975952148,62.53185306,0.178508372,0,0.518613709,3.309e-06,173451355.5703873,1.0512710963760241,58.821035238,10,1359.4713821411133,20,0.066733696,120.479382158
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1,10,0,0,0,1420.1090850830078,59.070944343,0.217104859,0,1.559478037,2.557e-06,173451355.5703873,1.0512710963760241,55.972482373,10,1370.5715103149414,20,0.077464868,113.361490587
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.05,239739,17125,262144,20,8,10,1,1,10,0,0,0,1763.7285385131836,61.119937633,1.356606264,0,0.675019547,3.582e-06,173468998.56055266,1.0512710963760241,59.84201,10,1387.3486557006836,20,0.074862307,116.226590239
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.15,239740,51373,262144,20,8,10,1,1,10,0,0,0,2618.5784606933594,66.687013101,3.784189176,0,0.625806298,3.486e-06,173723834.63896427,1.0512710963760241,60.590365603,10,1387.2408065795898,20,0.081883827,122.147423363
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.2,239739,68498,262144,20,8,10,1,1,10,0,0,0,2626.867477416992,70.724549499,4.998757882,0,0.673351349,2.536e-06,173830292.92917803,1.0512710963760241,66.23142575,10,1548.7260437011719,20,0.088941627,128.317093274
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.3,239740,102746,262144,20,8,10,1,1,10,0,0,0,2773.268226623535,80.656296738,7.388098561,0,0.730237834,3.208e-06,173552366.6065669,1.0512710963760241,67.60707032,10,1558.5699920654297,20,0.076081468,143.693318203
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.01,342486,3425,262144,20,8,10,1,1,10,0,0,0,1276.3861999511719,61.498961535,0.20969648,0,0.637690463,4.174e-06,354630810.30861247,1.0512710963760241,65.920681496,10,1634.5563278198242,20,0.071270135,120.835852179
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.1,342486,34249,262144,20,8,10,1,1,10,0,0,0,2033.415153503418,63.982244042,2.288558373,0,2.115917427,3.203e-06,354630810.30861247,1.0512710963760241,59.64827796,10,1425.8392181396484,20,0.07172904,119.490019957
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.15,342486,51373,262144,20,8,10,1,1,10,0,0,0,1898.1203536987305,65.729684085,3.756416981,0,0.642055129,2.534e-06,354630810.30861247,1.0512710963760241,63.184843853,10,1613.6515045166016,20,0.084097022,121.443901535
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.2,342486,68498,262144,20,8,10,1,1,10,0,0,0,2165.790657043457,63.049308358,5.145793563,0,0.693662618,3.775e-06,354630810.30861247,1.0512710963760241,58.041096095,10,1348.500114440918,20,0.066054744,113.539314575
DELETE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,delete,0.3,342486,102746,262144,20,8,10,1,1,10,0,0,0,2209.204658508301,65.297886642,7.035140945,0,0.52734168,3.27e-06,354630810.30861247,1.0512710963760241,57.647528101,10,1228.0952835083008,20,0.075020453,113.793528816
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1,10,0,0,0,1304.8163833618164,61.147707575,0.179482849,0,0.475468382,3.358e-06,173451355.5703873,1.0512710963760241,58.15169526,10,1346.993766784668,20,0.075286227,118.703349143
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,1172966,0.8,add,0.01,239740,3425,262144,20,8,10,1,1,10,0,0,0,1383.4354858398438,51.347494471,0.246401779,0,1.403103654,2.897e-06,173451355.57038733,1.0512710963760241,54.931592602,10,1292.5866317749023,20,0.072913749,97.251037501
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,11729666,0.8,add,0.01,239740,3425,262144,20,8,9,1,1,9,0,0,0,1383.2738876342773,45.517229326,0.18282545,0,0.459497332,2.345e-06,173451355.57038733,1.0512710963760241,46.311870975,9,1319.674186706543,20,0.073893297,89.845623629
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296660,0.8,add,0.01,239740,3425,262144,20,8,9,1,1,9,0,0,0,1386.346778869629,42.889650452,0.191790242,0,1.200975373,1.537e-06,173451355.57038733,1.0512710963760241,48.681348843,9,1297.8448944091797,20,0.104224106,83.403159957
SUPPORT,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,1172966601,0.8,add,0.01,239740,3425,262144,20,8,9,1,1,9,0,0,0,1426.358139038086,43.005495061,0.177560164,0,1.228837837,2.888e-06,173451355.57038727,1.0512710963760241,51.329467475,9,1315.0410232543945,20,0.069024673,80.997888204
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.7,add,0.01,239740,3425,262144,20,8,14,1,1,14,0,0,0,1362.9359817504883,56.926561434999996,0.218284149,0,0.649218393,3.957e-06,150193750.45049867,1.0512710963760241,55.602066376,14,1277.0597305297852,20,0.068397296,110.326033217
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.8,add,0.01,239740,3425,262144,20,8,10,1,1,10,0,0,0,1425.4068603515625,62.857643857,0.207320728,0,0.5279844,2.974e-06,173451355.5703873,1.0512710963760241,56.163013096,10,1295.101936340332,20,0.070914619,123.376371877
CONFIDENCE,/pv32/incremental-rule-discovery/datasets/AMiner_Author_ml.csv,342486,20,1.0,342486,117296,0.9,add,0.01,239740,3425,262144,20,8,9,1,1,9,0,0,0,1422.5482635498047,60.096404979,0.174419976,0,0.571960943,5.965e-06,199014976.3837924,1.0512710963760241,56.094880876,9,1379.5599517822266,20,0.066136384,114.794899998
