experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.2,83694,35023,0.8,add,0.01,58585,837,262144,20,8,1,1,1,1,0,0,0,827.8955917358398,22.221789692,0.040914617,0,0.201031648,1.145e-06,6094104.994802037,1.0512710963760241,29.503391526,1,824.1320266723633,20,0.073283376,43.62839553
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.4,167388,70047,0.8,add,0.01,117171,1674,262144,20,8,1,1,1,1,0,0,0,1065.6987762451172,34.920592457,0.149886997,0,0.256042947,1.805e-06,24425576.108155243,1.0512710963760241,37.401674089,1,929.144645690918,20,0.06578925,68.702833374
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.6,251082,105070,0.8,add,0.01,175757,2511,262144,20,8,1,1,1,1,0,0,0,1247.4819793701172,36.99216558,0.143596664,0,0.365281465,1.784e-06,55003673.119652085,1.0512710963760241,51.477201218,1,1318.6429443359375,20,0.064202515,72.996356833
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,0.8,334776,140094,0.8,add,0.01,234342,3348,262144,20,8,1,1,1,1,0,0,0,1482.7321853637695,46.567911794,0.219434267,0,0.405571751,1.431e-06,97731184.60226928,1.0512710963760241,41.898186146,1,1493.3804321289062,20,0.067114295,91.786688662
SCALE,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,8,1,1,1,1,0,0,0,1680.0329666137695,40.029636361,0.171169762,0,1.321849016,1.608e-06,152798480.76769137,1.0512710963760241,44.609098602,1,1628.0379257202148,20,0.066879597,77.37430711
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.01,292929,4185,262144,20,8,1,1,1,1,0,0,0,1683.4208984375,42.081139658,0.177741382,0,0.447964201,1.302e-06,152798480.76769134,1.0512710963760241,43.210205945,1,1638.8522872924805,20,0.070749531,82.388772969
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.05,292929,20924,262144,20,8,1,1,1,1,0,0,0,2217.661636352539,43.210386045,1.366621403,0,1.859819935,1.746e-06,152801732.778595,1.0512710963760241,45.737108395999996,1,1950.651870727539,20,0.066443968,80.031726591
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.15,292929,62771,262144,20,8,1,1,1,1,0,0,0,3233.5512619018555,47.262310227,3.914386901,0,0.488849809,1.056e-06,152726627.8056361,1.0512710963760241,49.856099214,1,1942.391716003418,20,0.07066864,85.713573716
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.2,292929,83694,262144,20,8,1,1,1,1,0,0,0,3363.5743408203125,49.543523611,5.157070147,0,0.57819811,1.759e-06,152722719.9031866,1.0512710963760241,47.433050625,1,1925.3666610717773,20,0.073319009,87.720572761
ADD,/pv32/incremental-rule-discovery/datasets/AMiner_Paper_ml.csv,418471,20,1.0,418471,175117,0.8,add,0.3,292929,125542,262144,20,8,1,1,1,1,0,0,0,3608.9100189208984,52.231889801,7.957386705,0,0.565130493,1.54e-06,152783799.06731272,1.0512710963760241,49.737687459,1,1949.2420043945312,20,0.072192519,86.599567845
