experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.2,6512,212,0.8,add,0.01,4557,66,262144,20,8,66,0.9682539682539683,0.9457364341085271,61,5,2,0,71.56441497802734,4.740050596,0.009745837,0,0.516995712,4.251e-06,205080.09696206663,1.0512710963760241,4.001004133,63,24.205215454101562,20,0.073576978,8.660698595
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.4,13024,424,0.8,add,0.01,9116,131,262144,20,8,68,0.96875,0.9393939393939394,62,6,2,0,80.21786499023438,5.913171992,0.015492782,0,0.708665262,4.973e-06,822561.1345121446,1.0512710963760241,5.06138644,64,25.894798278808594,20,0.076430866,10.809194359
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.6,19536,636,0.8,add,0.01,13674,196,262144,20,8,64,0.9523809523809523,0.9448818897637795,60,4,3,0,85.31455993652344,7.503546468,0.036737718,0,0.831186931,6.468e-06,1847131.1946660154,1.0512710963760241,5.633831438,63,25.800323486328125,20,0.084626585,13.56768186
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.8,26048,848,0.8,add,0.01,18233,261,262144,20,8,66,0.9393939393939394,0.9393939393939394,62,4,4,0,116.4708251953125,7.99199493,0.021514609,0,0.776320129,4.871e-06,3283764.10221365,1.0512710963760241,5.7865620060000005,66,61.313621520996094,20,0.08908687,14.558020401
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,68,0.9846153846153847,0.962406015037594,64,4,1,0,132.72676849365234,8.7542772,0.034479952,0,0.571688198,5.531e-06,5132426.752922371,1.0512710963760241,6.238265005,65,58.80353546142578,20,0.073408796,16.563664161
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,65536,20,8,64,0.9402985074626866,0.9618320610687023,63,1,4,0,87.34540557861328,8.731410403,0.023054588,0,0.718275639,4.877e-06,10264853.505844742,1.0512710963760241,6.216910773,67,72.52236938476562,20,0.0800039,16.401697185
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,131072,20,8,69,1.0,0.9852941176470589,67,2,0,0,87.3970718383789,8.678415121,0.025713835,0,0.613839261,4.858e-06,7258347.521869324,1.0512710963760241,6.361959939,67,38.50379180908203,20,0.06720552,16.284056311
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,67,0.9696969696969697,0.9624060150375939,64,3,2,0,110.65420532226562,8.932391684,0.026212831,0,0.939396118,4.361e-06,5132426.752922372,1.0512710963760241,6.175783181,66,49.859779357910156,20,0.070225624,16.639410753
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,524288,20,8,69,0.9701492537313433,0.9558823529411764,65,4,2,0,150.03221130371094,8.324198472,0.025961349,0,0.666536826,4.381e-06,3629173.7609346616,1.0512710963760241,6.433537137,67,71.90363311767578,20,0.068048056,15.732304169
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,1048576,20,8,68,0.9696969696969697,0.955223880597015,64,4,2,0,249.1707992553711,8.687563443,0.02849565,0,0.580139842,4.238e-06,2566213.376461186,1.0512710963760241,6.367496118,66,72.6369400024414,20,0.097452324,16.229447132
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,1,8,70,0.9848484848484849,0.9558823529411765,65,5,1,0,93.16739654541016,8.947532152,0.028694055,0,0.595492777,3.813e-06,5132426.752922371,2.718281828459045,6.773575395,66,45.094566345214844,20,0.07703743,16.654239744
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,3,8,69,0.9393939393939394,0.9185185185185185,62,7,4,0,96.11156463623047,9.104137591,0.025840221,0,0.584419807,6.014e-06,5132426.752922371,1.3956124250860895,7.219703723,66,71.76255798339844,20,0.09641318,17.173313776
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,5,8,70,0.9264705882352942,0.9130434782608695,63,7,5,0,100.8003921508789,9.713858613,0.021038457,0,0.661667362,4.338e-06,5132426.752922371,1.2214027581601699,6.883820429,68,73.90665435791016,20,0.081942087,18.529979416
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,7,8,69,0.9253731343283582,0.9117647058823529,62,7,5,0,81.95071411132812,8.973013399,0.033682846,0,0.568783177,4.656e-06,5132426.752922371,1.1535649948951077,6.698258787,67,54.155723571777344,20,0.083629495,16.849441505
COUNT-SKETCH-H,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,9,8,68,0.9545454545454546,0.9402985074626866,63,5,3,0,110.12886810302734,8.344258478,0.02651681,0,0.551325455,4.345e-06,5132426.752922372,1.1175190687418637,6.690258288,66,68.9379653930664,20,0.083854809,15.862278947
