experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,827.8955917358398,182.265119561,0.13709351,0,1.556364308,1.0542e-05,15663539.889194297,1.051271096376024,196.098023,89,824.1320266723633,80,0.228640314,359.564609617
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1065.6987762451172,185.30431757,0.286292401,0,2.03420022,1.1490999999999999e-05,62789764.74623502,1.051271096376024,200.310923114,89,929.144645690918,80,0.223251568,364.214896275
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1247.4819793701172,208.732055983,0.36010101200000005,0,2.497638353,1.0444e-05,141082797.70070168,1.051271096376024,220.371674059,89,1318.6429443359375,80,0.21051567000000002,410.576823904
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,8,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,1482.7321853637695,228.88231591,0.498708393,0,1.5302917269999998,1.0902e-05,250589559.82906824,1.051271096376024,225.115173192,90,1493.3804321289062,80,0.214860797,445.943523896
SCALE,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1680.0329666137695,229.63660590199999,0.497058605,0,3.9051061700000003,1.7655e-05,391691758.6114777,1.051271096376024,234.156900824,89,1628.0379257202148,80,0.23254178499999997,448.386298499
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1683.4208984375,221.848750574,0.5868737260000001,0,3.5289544650000004,1.0447e-05,391691758.6114777,1.051271096376024,238.278114952,89,1638.8522872924805,80,0.24600954500000002,434.964519948
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,2217.661636352539,225.231996983,3.544389612,0,3.114224857,1.111e-05,391685354.8626983,1.051271096376024,238.96543448600002,89,1950.651870727539,80,0.22828454800000003,435.494220703
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,3233.5512619018555,240.427648505,10.571622709,0,1.735026718,9.449e-06,391648975.8281253,1.051271096376024,242.57798656900002,89,1942.391716003418,80,0.23626967799999998,454.186579605
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,8,90,0.75,0.75,22.5,0.0,0.0,0.0,3363.5743408203125,262.129993368,13.644771099,0,1.8647428970000002,1.0147e-05,391572550.7481318,1.051271096376024,248.774195697,90,1925.3666610717771,80,0.25875407100000003,491.921738936
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.3,1288807,552348,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,3608.9100189208975,267.256891124,20.924913733,0,1.942508513,1.1041e-05,391681178.2745013,1.051271096376024,247.736586068,89,1949.2420043945312,80,0.236910618,486.36171275000004
