experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.2,8319,346,0.8,add,0.01,5822,84,262144,20,8,78,1.0,1.0,78,0,0,0,430.3473892211914,127.307972793,0.021512009,0,1.045766752,6.955e-06,299761.0192461744,1.0512710963760241,127.963695398,78,312.63402557373047,20,0.07583435,253.298028951
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.4,16639,692,0.8,add,0.01,11646,167,262144,20,8,78,1.0,1.0,78,0,0,0,468.82295989990234,112.179565899,0.029932327,0,0.541929986,4.653e-06,1200399.4484648306,1.0512710963760241,116.315229519,78,307.2764205932617,20,0.082147656,223.522371268
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.6,24959,1038,0.8,add,0.01,17470,250,262144,20,8,78,1.0,1.0,78,0,0,0,491.2758026123047,124.764494735,0.062720861,0,0.614769295,6.471e-06,2697736.4050958916,1.0512710963760241,123.397801615,78,313.2350540161133,20,0.06727955,248.6201401
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.8,33279,1384,0.8,add,0.01,23295,333,262144,20,8,78,0.9873417721518988,0.9936305732484078,78,0,1,0,538.0036544799805,127.633009741,0.083934867,0,0.615522917,6.978e-06,4785656.256274844,1.0512710963760241,133.025387166,79,351.8071746826172,20,0.073529778,247.369028406
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,8,78,1.0,1.0,78,0,0,0,549.3667297363281,127.006166763,0.084684116,0,2.064643445,1.2738e-05,7480684.429756108,1.0512710963760241,125.911314156,78,360.86019134521484,20,0.09279836,250.532609231
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,8,78,1.0,1.0,78,0,0,0,538.7779159545898,120.627465326,0.12896076,0,1.521512227,6.588e-06,7480684.429756108,1.0512710963760241,134.848877721,78,341.2418212890625,20,0.091760537,239.214256392
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.05,29119,2080,262144,20,8,79,1.0,0.9936305732484078,78,1,0,0,569.24609375,120.540072249,0.467965772,0,0.579385375,5.782e-06,7476064.065062625,1.0512710963760241,128.731206202,78,381.4145965576172,20,0.07868361,239.235903873
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.15,29119,6240,262144,20,8,78,1.0,1.0,78,0,0,0,584.7963409423828,124.64811459,1.049043802,0,0.620370611,4.907e-06,7472595.123806473,1.0512710963760241,125.81241188,78,360.25933837890625,20,0.077612949,246.325582526
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.2,29119,8320,262144,20,8,79,1.0,1.0,79,0,0,0,570.191032409668,139.8585749,1.491619045,0,0.613193438,5.852e-06,7480501.151029783,1.0512710963760241,128.261656264,79,365.4178695678711,20,0.090576611,275.884072901
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.3,29119,12480,262144,20,8,78,1.0,1.0,78,0,0,0,624.8694610595703,130.905818674,2.123758719,0,0.647140186,6.293e-06,7480629.172531512,1.0512710963760241,123.533696983,78,366.05333709716797,20,0.081539477,256.068826702
