experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.01,80442,1150,262144,20,8,50,1.0,1.0,50,0,0,0,398.24610900878906,28.235928889,0.159331821,0,0.643484392,7.142e-06,42716951.3194216,1.0512710963760241,21.595569793,50,286.9015808105469,20,0.078988359,53.584098307
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.05,80443,5746,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,394.8732223510742,28.895764778,0.593856095,0,0.629134861,5.218e-06,42717750.75254325,1.0512710963760241,23.376207194,50,288.3734893798828,20,0.095129179,53.440576934
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.15,80443,17238,262144,20,8,50,1.0,1.0,50,0,0,0,693.9092483520508,30.702710268,1.194967017,0,0.652485093,1.6771e-05,42684809.307268605,1.0512710963760241,25.495594331,50,309.56019592285156,20,0.068021113,58.046298496
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.2,80443,22984,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,711.137939453125,31.607665268,1.577416309,0,0.666405781,4.204e-06,42697742.124845624,1.0512710963760241,24.644264446,50,299.84796142578125,20,0.085209742,57.547130285
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.3,80443,34476,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,813.3317260742188,32.870140822,2.552585192,0,1.302726584,6.052e-06,42710481.64582024,1.0512710963760241,25.363732345,50,328.9279251098633,20,0.099340519,57.944324775
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.01,114919,1150,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,415.93302154541016,26.66475669,0.12285201,0,0.665018337,5.458e-06,87138502.37131774,1.0512710963760241,25.077254504,50,333.02599334716797,20,0.076907557,50.764079984
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.1,114919,11492,262144,20,8,51,1.0,0.99009900990099,50,1,0,0,615.3702087402344,27.304994689,0.988534981,0,1.260744425,6.663e-06,87138502.37131774,1.0512710963760241,23.957662032,50,302.88134002685547,20,0.090840089,51.13324463
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.15,114919,17238,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,593.4657897949219,28.731099997,1.41630914,0,0.650742854,5.168e-06,87138502.37131774,1.0512710963760241,24.266501507,50,302.6249313354492,20,0.086234593,52.707215802
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.2,114919,22984,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,648.6597366333008,27.709373891,1.680576377,0,1.849535356,5e-06,87138502.37131774,1.0512710963760241,23.002418569,50,256.59141540527344,20,0.088247373,48.883302348
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.3,114919,34476,262144,20,8,51,0.98,0.9702970297029702,49,2,1,0,564.7535247802734,29.940988888,2.36823192,0,0.674681206,5.207e-06,87138502.37131774,1.0512710963760241,22.380824881,50,259.7422790527344,20,0.091486892,53.690855016
