experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,8,26,1,1,26,0,0,0,4000.2585678100586,189.238682129,0.662486107,0,2.260154403,3.908e-06,6357368999.185124,1.0512710963760241,113.613014007,26,4762.653022766113,20,0.073975624,359.649086267
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.05,1177131,84081,262144,20,8,26,1,1,26,0,0,0,5931.191078186035,198.092148327,3.414238212,0,1.99327715,5.528e-06,6357199823.049039,1.0512710963760241,120.803935246,26,5103.212127685547,20,0.06937749,370.318742941
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.15,1177130,252243,262144,20,8,26,1,1,26,0,0,0,7609.484024047852,211.126621709,9.039755868,0,2.092227283,4.406e-06,6356203620.12694,1.0512710963760241,130.143042828,26,5726.591941833496,20,0.085392146,385.966184516
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.2,1177130,336324,262144,20,8,26,1,1,26,0,0,0,8832.343528747559,218.360630164,12.087329846,0,2.236339994,4.525e-06,6356891739.439737,1.0512710963760241,135.164352789,26,5998.611259460449,20,0.074621486,390.504186727
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.3,1177131,504485,262144,20,8,26,1,1,26,0,0,0,9814.079849243164,232.332081485,17.105364849,0,4.027050738,4.069e-06,6357312939.266006,1.0512710963760241,143.526639789,26,6089.193000793457,20,0.06791266,411.480904399
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.01,1681616,16817,262144,20,8,26,1,1,26,0,0,0,3935.1299209594727,166.24397484,0.610109629,0,3.501534244,3.771e-06,12972898678.21167,1.0512710963760241,144.588191824,26,6187.779968261719,20,0.068304842,315.402226331
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.1,1681616,168162,262144,20,8,26,1,1,26,0,0,0,6043.096115112305,173.030444035,6.47983006,0,3.844012236,5.79e-06,12972898678.21167,1.0512710963760241,135.121253358,26,6247.596153259277,20,0.119195692,317.490848533
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.15,1681616,252243,262144,20,8,26,1,1,26,0,0,0,7188.056442260742,179.397679578,9.242823201,0,2.023787565,5.453e-06,12972898678.21167,1.0512710963760241,130.89033311,26,5999.587593078613,20,0.089778164,326.553650662
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.2,1681616,336324,262144,20,8,26,1,1,26,0,0,0,6527.603134155273,178.408475187,12.076250824,0,1.918291977,3.377e-06,12972898678.21167,1.0512710963760241,123.297316994,26,5157.096473693848,20,0.085457442,316.125329454
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.3,1681616,504485,262144,20,8,26,1,1,26,0,0,0,7535.420036315918,181.999632216,17.191870627,0,1.874789777,3.99e-06,12972898678.21167,1.0512710963760241,112.99903676,26,5074.711982727051,20,0.067369219,315.821634672
