experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.0001,3,0,0.8,add,0.01,1,1,262144,20,40,0,0.0,0.0,0,0,124,0,44.129722595214844,0.002689928,3.343e-06,0.0,0.0,0.0,0.0,1.0512710963760241,0.290113938,124,4.3590240478515625,20,0.002617426,0.0
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.2,6512,212,0.8,add,0.01,4557,66,262144,20,8,65,0.8970588235294118,0.9172932330827067,61,4,7,0,63.73738098144531,3.406603379,0.010145197,0.012286522,3.706e-06,3.051126754,205080.09696206666,1.0512710963760241,4.644622721,68,25.36224365234375,20,0.022235513,3.589775898
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.4,13024,424,0.8,add,0.01,9116,131,262144,20,8,70,0.9696969696969697,0.9411764705882354,64,6,2,0,83.94279479980469,3.838048933,0.012941045,0.018664669,3.96e-06,2.223022709,822561.1345121445,1.0512710963760241,5.234600884,66,39.75127410888672,20,0.020641646,5.368591022
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.6,19536,636,0.8,add,0.01,13674,196,262144,20,8,64,0.9354838709677419,0.9206349206349206,58,6,4,0,96.22146606445312,3.875253028,0.023567459,0.015383494,4.074e-06,2.466013654,1847131.1946660161,1.0512710963760241,5.479013222,62,42.178733825683594,20,0.027440516,4.997443562
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,0.8,26048,848,0.8,add,0.01,18233,261,262144,20,8,65,0.9538461538461539,0.9538461538461539,62,3,3,0,108.62639617919922,3.745500891,0.021322332,0.015494359,3.79e-06,2.129812042,3283764.10221365,1.0512710963760241,6.537726293,65,36.770301818847656,20,0.020889381,5.072919971
SCALE,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,67,0.9393939393939394,0.9323308270676692,62,5,4,0,131.73137664794922,3.825048519,0.026661123,0.014107698,3.253e-06,2.44415692,5132426.752922371,1.0512710963760241,7.102774812,66,63.35707092285156,20,0.013610978,5.095117513
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,65536,20,8,67,0.9402985074626866,0.9402985074626865,63,4,4,0,80.2439193725586,4.320301149,0.0261408,0.006043861,4.244e-06,1.966885537,10264853.505844742,1.0512710963760241,7.037910457,67,41.74839782714844,20,0.026264125,6.536348318
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,131072,20,8,70,0.9393939393939394,0.9117647058823529,62,8,4,0,90.55741119384766,4.128741412,0.034628446,0.009583015,3.515e-06,2.106408448,7258347.521869324,1.0512710963760241,7.081645692,66,48.531044006347656,20,0.024293613,5.851199698
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,262144,20,8,68,1.0,0.9774436090225563,65,3,0,0,110.32805633544922,4.306205726,0.03732372,0.016252468,3.909e-06,2.063378606,5132426.752922371,1.0512710963760241,7.095548991,65,41.69538116455078,20,0.024032209,6.241191999
COUNT-SKETCH-W,/pv32/incremental-rule-discovery/datasets/adult_ml.csv,32561,20,1.0,32561,1060,0.8,add,0.01,22792,326,524288,20,8,69,0.9411764705882353,0.9343065693430658,64,5,4,0,170.0049285888672,3.740962555,0.026294123,0.015437001,4.129e-06,1.986974655,3629173.7609346616,1.0512710963760241,6.929053977,68,43.340484619140625,20,0.022225835,5.261563814
