experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,793.2847213745117,175.48853083400002,0.128586677,0.029105515,7.005e-06,2.100523879,15663539.889194297,1.051271096376024,198.671860546,89,786.5276031494141,80,0.244291486,342.98103575100004
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1041.2284622192385,160.70603569899998,0.25485388999999997,0.037899391000000004,7.31e-06,2.2216445559999998,62789764.74623502,1.051271096376024,199.721156593,89,946.9557876586914,80,0.25672448600000003,303.637195894
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,1261.0704879760742,158.502520748,0.35343158900000005,0.028967936,6.5829999999999995e-06,4.921398985,141082797.70070168,1.051271096376024,225.542216704,89,1167.879867553711,80,0.210335141,309.962872865
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,1481.7052459716797,157.89560667199999,0.3994586299999999,0.018091308,7.563999999999999e-06,9.410243284,250589559.82906824,1.051271096376024,218.811108063,89,1564.2185363769531,80,0.231196609,301.80499924000003
SCALE,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,8,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,1669.864974975586,161.455019166,0.562947928,0.016298854,8.024e-06,7.327039940000001,391691758.6114777,1.051271096376024,233.404285608,90,1668.7522354125977,80,0.244775733,300.415903733
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,8,89,0.7468354430379747,0.748407643312102,22.25,0.0,0.25,0.0,1698.489112854004,168.363272574,0.567642373,0.013873594999999999,6.769e-06,7.457612436,391691758.6114777,1.051271096376024,240.627675183,90,1641.132080078125,80,0.253276931,326.114926624
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,8,90,0.75,0.75,22.5,0.0,0.0,0.0,1986.144218444824,178.96055445999997,3.3540265330000003,0.010665252,6.921e-06,7.040175571999999,391685354.8626983,1.051271096376024,230.83308923200002,90,1647.458839416504,80,0.25331642,342.206390489
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,3008.957275390625,175.111638991,10.030655429,0.020456786999999997,7.854e-06,11.831980139,391648975.8281252,1.051271096376024,247.47128426299997,89,1868.9060668945312,80,0.24618306399999998,308.554512446
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,3094.545234680176,195.237810434,13.17408698,0.012025608,6.982e-06,9.930550608,391572550.7481318,1.051271096376024,237.514112635,89,2012.8746948242188,80,0.25038668199999997,348.692511214
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.3,1288807,552348,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,3953.117630004883,195.086738802,20.747966148,0.122627289,6.037e-06,17.451124941,391681178.2745014,1.051271096376024,237.229846549,89,1945.1100769042969,80,0.25414088,319.036675963
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.01,1841155,18412,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,1479.9928817749023,168.579064471,0.526864013,0.022934681999999998,8.438e-06,6.658417468000001,799426078.4271293,1.051271096376024,245.86208307799998,89,1853.269645690918,80,0.24395200499999997,325.173519978
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.1,1841155,184117,262144,20,8,90,0.75,0.748407643312102,22.25,0.25,0.0,0.0,2424.9935150146484,179.005575112,6.737980347,0.017579148,7.422000000000001e-06,9.142880603,799426078.4271293,1.051271096376024,229.117367807,89,1963.4831466674805,80,0.252952317,324.419006231
DELETE,DBLP,1841155,64,1.0,1841155,117296,0.8,delete,0.15,1841155,276174,262144,20,8,89,0.75,0.75,22.25,0.0,0.0,0.0,2475.35173034668,185.203828816,10.075907305,0.014460345,1.7515e-05,12.508468488,799426078.4271293,1.051271096376024,245.94604281699998,89,1834.5008850097656,80,0.225109447,333.845098011
