experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.2,8319,346,0.8,add,0.01,5822,84,262144,20,8,78,1.0,1.0,78,0,0,0,432.1209259033203,135.440774511,0.025080821,0.021058177,4.241e-06,1.032225582,299761.01924617443,1.0512710963760241,133.047616204,78,328.63099670410156,20,0.08006891,269.546914318
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.4,16639,692,0.8,add,0.01,11646,167,262144,20,8,78,1.0,1.0,78,0,0,0,447.5625991821289,121.553090558,0.02913171,0.021337359,5.034e-06,1.253896754,1200399.4484648306,1.0512710963760241,126.759513948,78,314.3055648803711,20,0.076158655,231.204300011
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.6,24959,1038,0.8,add,0.01,17470,250,262144,20,8,78,1.0,1.0,78,0,0,0,504.2323760986328,118.044706702,0.04177036,0.01594702,4.372e-06,1.029488719,2697736.405095891,1.0512710963760241,138.461523794,78,324.0569381713867,20,0.067915973,234.567508385
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,0.8,33279,1384,0.8,add,0.01,23295,333,262144,20,8,79,1.0,0.9936305732484078,78,1,0,0,528.2825469970703,114.789107829,0.06349953,0.012040257,4.82e-06,2.382637945,4785656.2562748445,1.0512710963760241,123.87559703,78,336.38782501220703,20,0.074821354,226.829520146
SCALE,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,8,78,0.9873417721518988,0.9936305732484078,78,0,1,0,548.7892150878906,116.964447232,0.092176441,0.011557473,4.615e-06,2.468044236,7480684.429756107,1.0512710963760241,127.316700141,79,334.08350372314453,20,0.086188205,224.923876406
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.01,29119,416,262144,20,8,78,0.9873417721518988,0.9936305732484078,78,0,1,0,550.3077621459961,121.328570675,0.073255109,0.0094682,4.153e-06,1.236726563,7480684.429756107,1.0512710963760241,134.303467432,79,343.8062744140625,20,0.092343633,240.853150633
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.05,29119,2080,262144,20,8,79,1.0,1.0,79,0,0,0,574.2917327880859,128.138578447,0.461379834,0.006834766,4.531e-06,1.406013624,7476064.065062626,1.0512710963760241,124.751353929,79,376.91712188720703,20,0.072272726,253.672094754
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.15,29119,6240,262144,20,8,79,1.0,0.9936305732484078,78,1,0,0,582.1705169677734,118.039070993,1.048228145,0.008794371,5.072e-06,2.277685556,7472595.123806475,1.0512710963760241,131.190401163,78,394.69024658203125,20,0.078640878,224.31968008
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.2,29119,8320,262144,20,8,78,1.0,1.0,78,0,0,0,582.0603561401367,129.604894263,1.639774121,0.007893148,3.625e-06,2.33305557,7480501.151029782,1.0512710963760241,121.113353858,78,367.8832473754883,20,0.081027947,253.37783597
ADD,/pv32/incremental-rule-discovery/datasets/dblp_ml.csv,41599,20,1.0,41599,1730,0.8,add,0.3,29119,12480,262144,20,8,79,1.0,0.9936305732484078,78,1,0,0,608.5228576660156,123.674851832,1.971818623,0.050636534,2.946e-06,6.598231424,7480629.172531513,1.0512710963760241,117.642038455,78,382.76824951171875,20,0.077733123,226.327753953
