experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
TRAIN,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,0.0001,168,282,0.8,add,0.01,117,2,262144,20,40,13,1,1,13,0,0,0,114.3397216796875,0.399329827,0.001325167,0.000334983,2.009e-06,1.038722195,60.92068650257737,1.0512710963760241,0.991041274,13,76.12732696533203,20,0.068482347,0.862245506
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,8,26,1,1,26,0,0,0,3778.0078048706055,42.142722626,0.538442879,0.003427473,1.769e-06,1.432063644,6357368999.185124,1.0512710963760241,113.961202103,26,5428.35604095459,20,0.070831514,80.642306548
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,add,0.05,1177131,84081,262144,20,8,26,1,1,26,0,0,0,6050.538955688477,47.923292003,3.517605092,0.003252394,2.137e-06,2.943104863,6357199823.049039,1.0512710963760241,117.23609777,26,5124.802429199219,20,0.069969243,84.76432175
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,add,0.15,1177130,252243,262144,20,8,26,1,1,26,0,0,0,8566.044319152832,58.107899524,8.867418299,0.004027084,3.54e-06,6.096926287,6356203620.12694,1.0512710963760241,132.057620311,26,5676.02742767334,20,0.075320362,87.470461466
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,add,0.2,1177130,336324,262144,20,8,26,1,1,26,0,0,0,9056.763961791992,61.331269518,11.795935567,0.003529531,2.632e-06,7.780667288,6356891739.439737,1.0512710963760241,137.324239794,26,6950.344345092773,20,0.07328166,89.533847788
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,add,0.3,1177131,504485,262144,20,8,26,1,1,26,0,0,0,9502.649574279785,75.219432052,17.803119671,0.00335566,3.918e-06,11.471718244,6357312939.266006,1.0512710963760241,147.661166008,26,6728.781044006348,20,0.068578973,95.92893155
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,delete,0.01,1681616,16817,262144,20,8,26,1,1,26,0,0,0,3244.218574523926,37.494000885,0.576714462,0.011822386,2.848e-06,1.390634734,12972898678.211668,1.0512710963760241,143.735824931,26,6113.454048156738,20,0.077608568,70.440430535
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,delete,0.1,1681616,168162,262144,20,8,26,1,1,26,0,0,0,6006.955673217773,48.048521629,6.281194113,0.004011889,3.322e-06,4.803343676,12972898678.21167,1.0512710963760241,138.233585762,26,5912.790885925293,20,0.074111329,77.427486833
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,delete,0.15,1681616,252243,262144,20,8,26,1,1,26,0,0,0,6742.583038330078,52.522176762,10.086847646,0.003802632,2.608e-06,6.487283768,12972898678.21167,1.0512710963760241,131.3396313,26,6342.272911071777,20,0.055607936,77.728872183
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1.0,1681616,2827832,0.8,delete,0.2,1681616,336324,262144,20,8,26,1,1,26,0,0,0,7024.003433227539,57.086977397,12.200451747,0.216593515,3.514e-06,8.670002805,12972898678.21167,1.0512710963760241,124.187940951,26,5187.934280395508,20,0.069807557,79.168387059
