experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,DBLP,1841155,64,0.2,368229,23459,0.8,add,0.01,257756,3684,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,496.06339263916016,2.4466452912119996,0.31098135383399955,0.005754640698,1.8333666e-05,0.8517122883959996,15663539.889194297,1.051271096376024,26.758954845825002,89,850.8446273803711,4,1.6879132901550002,0.003546044067
SCALE,DBLP,1841155,64,0.4,736460,46918,0.8,add,0.01,515518,7366,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,676.0271453857422,2.084441820003,0.572623266753,0.008018348349,2.0279054999999997e-05,0.867933516993,62789764.74623502,1.051271096376024,52.853562923865006,89,1058.3902435302734,4,1.0575937114470002,0.0040831764719995
SCALE,DBLP,1841155,64,0.6,1104691,70377,0.8,add,0.01,773280,11048,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,861.88916015625,2.5921484060160003,0.7299290416170001,0.01655195973,2.3514702000000003e-05,0.896334891132,141082797.70070168,1.051271096376024,76.49877969159901,89,1219.436767578125,4,1.386666862917,0.004134046644
SCALE,DBLP,1841155,64,0.8,1472922,93837,0.8,add,0.01,1031043,14730,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1058.7599258422852,2.71084175994,0.9441934759349995,0.056848612449000004,2.1489297e-05,0.9438432559050001,250589559.82906824,1.051271096376024,97.26278218170303,89,1495.6955032348633,4,1.277093247576,0.004143453525
SCALE,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1232.3203735351562,3.214924766382,1.0915049173320002,0.030905074779,2.4224844e-05,0.9550245917250001,391691758.6114777,1.051271096376024,124.30415693021402,89,1918.4587860107424,4,1.5505141258170003,0.141551984736
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.01,1288807,18412,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1232.3816833496094,2.737249115355,1.0675942611570002,0.03226540179,1.7043408e-05,0.9002547099389996,391691758.6114777,1.051271096376024,117.765392208768,89,1720.7403411865234,4,1.0876871289269996,0.14426812785600002
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.05,1288806,92059,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,1719.867156982422,7.2233358532950005,5.376838157601001,0.048448462755,2.4899979e-05,1.370804201019,391685354.8626983,1.051271096376024,128.810788436286,89,1933.3182830810547,4,1.09512463113,0.006152195193000001
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.15,1288807,276174,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,2372.77458190918,24.962074191555004,19.587991784994003,0.026922918507,2.0969193000000003e-05,0.9092452026780001,391648975.8281252,1.051271096376024,143.45716373560802,89,2106.370574951172,4,0.9965235898650001,6.401203554714001
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.2,1288806,368232,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,2852.79581451416,32.587573266411,26.976441834525,0.0440666215619995,2.0949189000000003e-05,1.057405208754,391572550.7481318,1.051271096376024,153.16977637470902,89,2162.440185546875,4,1.8482405541959996,5.738375315574
ADD,DBLP,1841155,64,1.0,1841155,117296,0.8,add,0.3,1288807,552348,262144,20,2.6666666666666665,89,0.75,0.75,22.25,0.0,0.0,0.0,3139.4267654418945,51.512332221363,41.510387882493,0.04048066451400001,2.3964792000000006e-05,1.1803375953149995,391681178.2745013,1.051271096376024,167.572688081049,89,2075.623786926269,4,1.5920876788650002,13.848118459878
