experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.01,80442,1150,262144,20,2.6666666666666665,49,1,1,49,0,0,0,378.179801940918,0.7899342061930001,0.214543674513,0.013000481308,7.181795e-06,0.397763704072,42716951.31942159,1.051271096376024,11.393393040351,49,291.77747344970703,1,0.24228916915300003,0.18814301999900002
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.05,80443,5746,262144,20,2.6666666666666665,49,1,1,49,0,0,0,380.8747024536133,1.6693981972380003,0.6055330014140001,0.002312994104,7.797949000000001e-06,0.524919949188,42717750.75254325,1.051271096376024,11.825376381194001,49,300.3492660522461,1,0.25855652297500004,1.0043221177750001
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.15,80443,17238,262144,20,2.6666666666666665,49,1,1,49,0,0,0,658.2616958618164,3.1204888512310003,1.7175494360390002,0.03484090805,9.610402e-06,0.528070692677,42684809.30726859,1.051271096376024,12.766795117054,49,330.2400360107422,1,0.22973892437600002,1.661498354771
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.2,80443,22984,262144,20,2.6666666666666665,49,1,1,49,0,0,0,635.0268173217773,3.842615805848,2.0358572891130002,0.002581389186,1.0278569e-05,0.606239718049,42697742.12484561,1.051271096376024,11.446014064319002,49,339.28248596191406,1,0.22767241187700002,2.2966503270770002
ADD,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,add,0.3,80443,34476,262144,20,2.6666666666666665,49,1,1,49,0,0,0,722.3366622924805,4.07431732475,2.7779505140500005,0.046840071091,6.641660000000001e-06,0.400200713172,42710481.645820245,1.051271096376024,12.778757206829,49,386.77254486083984,1,0.270154593768,1.4862080111380003
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.01,114919,1150,262144,20,2.6666666666666665,49,1,1,49,0,0,0,359.0595932006836,0.669356029183,0.154403855316,0.018828069841,8.018004000000001e-06,0.360155060261,87138502.37131774,1.051271096376024,11.949656363424001,49,377.5627670288086,1,0.21020107713500003,0.23611150912400003
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.1,114919,11492,262144,20,2.6666666666666665,49,1,1,49,0,0,0,525.1985244750977,2.6295134580610005,1.576775211279,0.020132823948,8.490122000000002e-06,0.447540193084,87138502.37131774,1.051271096376024,11.13737388756,49,348.8518295288086,1,0.21453328791700002,1.1700068125960001
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.15,114919,17238,262144,20,2.6666666666666665,49,1,1,49,0,0,0,572.6669616699219,3.433984021435,1.9269247627880002,0.053047446547000006,9.254313000000001e-06,0.564177913226,87138502.37131774,1.051271096376024,11.924638254460001,49,312.27783966064453,1,0.22988923394400002,1.932733066501
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.2,114919,22984,262144,20,2.6666666666666665,49,1,1,49,0,0,0,551.7160263061523,2.9299655243040004,1.9419624812780003,0.001954284449,7.877969000000002e-06,0.327547094307,87138502.37131774,1.051271096376024,11.675480184511,49,299.25860595703125,1,0.260032467869,1.087262727745
DELETE,/pv32/incremental-rule-discovery/datasets/hospital_ml.csv,114919,20,1,114919,13206,0.8,delete,0.3,114919,34476,262144,20,2.6666666666666665,49,1,1,49,0,0,0,593.0472717285156,4.622832691318001,2.990547229945,0.012754123734,9.990497e-06,0.559922641674,87138502.37131774,1.051271096376024,9.858928063987001,49,273.4661560058594,1,0.20648657674200002,2.28409956217
