experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,2.6666666666666665,26,1,1,26,0,0,0,3344.6477127075195,1.5296497008460002,1.0412308586540002,0.022992782759,5.153288000000001e-06,0.29245830430200004,6357368999.1851225,1.051271096376024,98.44278914214901,26,5014.324729919434,1,0.33276181366100005,0.001251780867
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.05,1177131,84081,262144,20,2.6666666666666665,26,1,1,26,0,0,0,5363.994537353516,8.218884655612,3.7245278512380002,0.016979863905000003,7.645911000000001e-06,0.39708092942100004,6357199823.049039,1.051271096376024,106.04319316424801,26,5041.9361572265625,1,0.22298100731900003,7.774661487577001
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.15,1177130,252243,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6658.715576171875,19.912133805254,16.469236996179003,0.015797624419,6.673668e-06,0.280860409553,6356203620.12694,1.051271096376024,117.017720122251,26,6055.690856933594,1,0.193712303972,6.186747440285001
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.2,1177130,336324,262144,20,2.6666666666666665,26,1,1,26,0,0,0,7770.540100097656,26.185923188586003,20.286248486548,0.014376837311000002,7.313828e-06,0.5625062154060001,6356891739.439738,1.051271096376024,126.15955309327201,26,6203.781272888184,1,0.31753323946900003,10.585278502211002
ADD,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.3,1177131,504485,262144,20,2.6666666666666665,26,1,1,26,0,0,0,8929.4736328125,37.02796748220101,32.681774717579,0.013438670828,6.4696170000000005e-06,0.329558268975,6357312939.2660055,1.051271096376024,138.724591867847,26,6259.912437438965,1,0.144590066482,7.986083941980001
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.01,1681616,16817,262144,20,2.6666666666666665,26,1,1,26,0,0,0,2803.0018157958984,1.348400639906,0.8841701032790001,0.0033000047950000003,6.12153e-06,0.254415772046,12972898678.211668,1.051271096376024,139.40279317579703,26,5181.641510009766,1,0.32901461709600005,0.001192826132
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.1,1681616,168162,262144,20,2.6666666666666665,26,1,1,26,0,0,0,5107.869834899902,15.019116664706,11.126526696440001,0.009384449526000002,6.7016750000000005e-06,0.3962017416790001,12972898678.211668,1.051271096376024,136.59820361565002,26,5005.697509765625,1,0.397593125438,6.465547074773001
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.15,1681616,252243,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6087.932991027832,19.610533612051,14.669758106896001,0.009999603276,7.593898000000001e-06,0.4394368437530001,12972898678.211668,1.051271096376024,117.45507489761701,26,4896.82666015625,1,0.17169831785100004,7.863369290985
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.2,1681616,336324,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6515.909759521484,28.865621965841004,24.28540227311,0.008305375825,6.313578000000001e-06,0.36570705191200004,12972898678.211668,1.051271096376024,113.00077656535801,26,4556.136367797852,1,0.41086317012,7.693158572941001
DELETE,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,delete,0.3,1681616,504485,262144,20,2.6666666666666665,26,1,1,26,0,0,0,6949.729278564453,38.916822537941,32.38463369489,0.020251765676000004,7.929982e-06,0.5772103545220001,12972898678.211666,1.051271096376024,101.37339396223702,26,4589.709167480469,1,0.272792513083,11.595105663903
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,4.0,26,1,1,26,0,0,0,3345.8117294311523,1.2657773732520001,0.992645131258,0.015120679225000003,6.3375840000000005e-06,0.18185889336,6357368999.1851225,1.051271096376024,69.322564929655,26,5182.999137878418,1,0.17600075719200003,0.001134995678
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,8.0,26,1,1,26,0,0,0,3347.560562133789,0.6629203806730001,0.41703279214000005,0.029175223983000004,7.477869000000001e-06,0.12547349653400003,6357368999.185124,1.051271096376024,40.165241444661,26,5229.377601623535,1,0.17889815336,0.0013844060150000003
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,12.0,26,1,1,26,0,0,0,3353.943473815918,0.56257088757,0.30807063440900007,0.003803426619,8.142035e-06,0.095011154852,6357368999.185123,1.051271096376024,28.494525702963003,26,5496.069023132324,1,0.202960799518,0.001181799376
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,16.0,26,1,1,26,0,0,0,3353.651054382324,0.652804928442,0.270398922835,0.025905298706,8.174043000000001e-06,0.07173930634400001,6357368999.185123,1.051271096376024,27.575796922174003,26,5705.858093261719,1,0.34212013265600005,0.0014536873310000001
MACHINES,/pv32/incremental-rule-discovery/datasets/ncvoter_ml.csv,1681616,20,1,1681616,2827832,0.8,add,0.01,1177130,16817,262144,20,20.0,26,1,1,26,0,0,0,3357.6485595703125,0.49065257248500005,0.24948319120900003,0.0021327250480000005,9.054263000000001e-06,0.066179708792,6357368999.185123,1.051271096376024,20.934191515819002,26,6200.648109436035,1,0.20335747066100002,0.0015075367900000002
