panel,slot,x,variant,round,inc_runtime_s,batch_runtime_s,batch_step0_runtime_s,breakdown_F_s,breakdown_S_s,breakdown_E_s,breakdown_R_s,breakdown_C_s,sk_mb,recall_plus,aff_join_s,aff_relabel_s,aff_total,add_pct,dataset,add_count,aff_common,aff_new,base_size,batch_align_runtime_s,batch_model_name,batch_peak_mem_mb,batch_rules,batch_search_runtime_s,batch_search_supp_nodes,batch_step1_runtime_s,batch_supp_nodes,batch_timing_contract,batch_train_runtime_s,batch_train_supp_nodes,dataset_ratio,del_count,fn,fp,gt_invalid_rules,gt_new_rules,inc_dequeue_n,inc_enqueue_n,inc_search_nodes,inc_train_canonical_rules,inc_train_raw_rules,lattice_samples,mcorr_diff_enqueued,mcorr_diff_raw,mcorr_diff_size,mcorr_enter_mode,mcorr_enter_threshold,mcorr_inc_cand,mcorr_inc_score_pos,mcorr_params,mcorr_predict_calls,mcorr_step1_cand,mcorr_step1_score_pos,mcorr_succ_generated,mcorr_succ_kept,mcorr_succ_pruned,minsup,minsup_base,new_rules,new_size,paper_mcorr,peak_mem_mb,pred_topk,pruned_rules,recall,recall_minus,remine_train_canonical_rules,remine_train_raw_rules,rules,s0_seeds,sample_count,sample_l8_13_ran,sample_l8_13_rhs,sample_replay_s,sample_replay_visits,sample_size,search_per_node_s,search_s,sigma,single_pred_seeds,sk_exact,sk_intersect,sk_probes,sk_skip,step2_s,step2_verified_n,t9_ml_noskip,t9_ml_seed,total_runtime_s,tp,train_action,train_alignment,train_class_neg,train_class_pos,train_key_sha256,train_label_sha256,update_type,verified,visit_mid_nodes,visit_rule_nodes,workers,batch_plot_s,inc_over_batch_plot,sweep,source_kind,csv_path,exported_at
a,w65536,65536,pincminer,0,42.872661012,249.840313106,131.711711666,0.267760768,10.034918970000001,0.0,16.879069439,6.589228395,2.62144,1,,0.179399795,,,,18410.0,,,1288807.0,19.388804572,batch-cold-round-0,2005.2880859375,226.0,45.555090662,2208.0,53.18467123,22820.0,cold-step0-step1-aff-mine,204.285215851,20612.0,1,18408.0,0.0,16.0,0.0,1.0,0,0,24346.0,2521.0,2521.0,2168.0,0.0,18.0,37.0,enforce,0.85,180698.0,56509.0,5377,4027,31010.0,10998.0,87070,15721,71349,847,847,375.0,1288809.0,True,636.3092422485352,0,2296.0,1,1,2521.0,2521.0,149,0,2168.0,1,16,0.095878822,4962,1841155.0,1.932261628375655e-05,0.095878822,1e-06,0,501,4962,1969,1468,0.024779635,139,False,False,44.697282062999996,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,139,23987.0,359.0,20,249.840313106,0.17160025329383244,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w65536/results.csv,2026-09-11T11:22:02
a,w262144,262144,noaux,0,146.723416922,166.091036609,88.50904436,0.223890348,0.0,43.914751883,15.669061281000001,10.415129815,10.48576,1,,1.060537888,,,,17994.0,,,1259688.0,18.708973047,batch-cold-round-0,10084.395812988281,86.0,29.296906972,1426.0,29.576086581000002,11214.0,cold-step0-step1-aff-mine,136.794125704,9788.0,1,17993.0,0.0,12.0,0.0,0.0,60800,60800,95733.0,,,0.0,0.0,0.0,0.0,enforce,0.85,0.0,0.0,5377,367,17852.0,8991.0,60449,60449,0,57475,57475,508.0,1259689.0,True,7305.429443359375,0,1322.0,1,1,,,460,0,0.0,0,0,0,0,1799556.0,0.00031520829893092107,19.164664575,1e-06,351,0,0,0,0,0.202905501,85,False,False,148.39396292200001,86.0,,,,,,,mix,85,95249.0,484.0,20,166.091036609,0.883391541877158,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w262144/results.csv,2026-09-11T11:22:02
a,w262144,262144,nocs,0,88.58044645,166.091036609,88.50904436,0.241538576,14.627494101,0.0,16.545459692,8.146379583,10.48576,1,,1.080155718,,,,17994.0,,,1259688.0,18.708973047,batch-cold-round-0,10084.395812988281,86.0,29.296906972,1426.0,29.576086581000002,11214.0,cold-step0-step1-aff-mine,136.794125704,9788.0,1,17993.0,0.0,12.0,0.0,0.0,0,0,19384.0,,,1185.0,0.0,0.0,0.0,enforce,0.85,93628.0,40788.0,5377,1803,17852.0,8991.0,41336,4232,37104,57475,57475,146.0,1259689.0,True,4906.821517944336,0,1322.0,1,1,,,98,0,1185.0,1,9,0.389508438,1849,1799556.0,0.00021065897133585722,0.389508438,1e-06,0,1481,1849,1481,0,0.22444154,85,False,False,90.36215511799999,86.0,,,,,,,mix,85,19262.0,122.0,20,166.091036609,0.5333246649458269,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w262144/results.csv,2026-09-11T11:22:02
a,w262144,262144,pincminer,0,39.686384231,218.195712444,111.721985195,0.264787074,10.269687817000001,0.0,17.030347781,8.526585113,10.48576,1,,0.11578103,,,,18410.0,,,1288807.0,19.163627496,batch-cold-round-0,2248.547187805176,226.0,42.970279722,2208.0,44.33978385,22820.0,cold-step0-step1-aff-mine,175.22542552,20612.0,1,18408.0,0.0,21.0,0.0,1.0,0,0,24346.0,2521.0,2521.0,2168.0,0.0,18.0,37.0,enforce,0.85,180698.0,56509.0,5377,4027,31010.0,10998.0,87070,15721,71349,847,847,410.0,1288809.0,True,496.6446228027344,0,2296.0,1,1,2521.0,2521.0,149,0,2168.0,1,16,0.041567097,4962,1841155.0,8.377085247883918e-06,0.041567097,1e-06,0,371,4962,1958,1587,0.031380271,139,False,False,41.644586831,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,139,23957.0,389.0,20,218.195712444,0.18188434496019495,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w262144/results.csv,2026-09-11T11:22:02
a,w1048576,1048576,pincminer,0,35.516855829,261.734552526,146.217099771,0.33753907,9.66245893,0.0,15.781479917,7.089812331,41.94304,1,,0.118993408,,,,18410.0,,,1288807.0,21.178000005,batch-cold-round-0,2196.5022506713867,226.0,46.322266231,2208.0,48.017140908,22820.0,cold-step0-step1-aff-mine,215.412279259,20612.0,1,18408.0,0.0,9.0,0.0,1.0,0,0,24346.0,2521.0,2521.0,2168.0,0.0,18.0,37.0,enforce,0.85,180698.0,56509.0,5377,4027,31010.0,10998.0,87070,15721,71349,847,847,531.0,1288809.0,True,400.88087463378906,0,2296.0,1,1,2521.0,2521.0,149,0,2168.0,1,16,0.016306501,4962,1841155.0,3.2862758968158003e-06,0.016306501,1e-06,0,387,4962,2119,1732,0.021784004,139,False,False,37.536422672,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,139,23824.0,522.0,20,261.734552526,0.1356980019879945,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w1048576/results.csv,2026-09-11T11:22:02
a,w4194304,4194304,pincminer,0,38.000762103,232.81064748,125.27864889599999,0.29263775200000003,10.438010058,0.0,16.888736461,6.574484067999999,167.77216,1,,0.113251432,,,,18410.0,,,1288807.0,20.069909506000002,batch-cold-round-0,2887.665687561035,227.0,41.842657449,2208.0,45.619397936,22820.0,cold-step0-step1-aff-mine,190.967983873,20612.0,1,18408.0,0.0,15.0,0.0,1.0,0,0,24355.0,2521.0,2521.0,2169.0,0.0,18.0,37.0,enforce,0.85,180778.0,56527.0,5377,4029,31010.0,10998.0,87150,15739,71411,847,847,564.0,1288809.0,True,531.8254623413086,0,2296.0,1,1,2521.0,2521.0,149,0,2169.0,1,17,0.065783736,4971,1841155.0,1.3233501508750754e-05,0.065783736,1e-06,0,402,4971,2134,1732,0.028629498,140,False,False,39.985673392,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,140,23811.0,544.0,20,232.81064748,0.16322604878397806,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w4194304/results.csv,2026-09-11T11:22:02
a,w16777216,16777216,pincminer,0,29.614108157,204.642187114,107.428920429,0.315228398,7.2263624459999996,0.0,14.766349957000001,6.032701851,671.08864,1,,0.12462791,,,,18410.0,,,1288807.0,18.886806294,batch-cold-round-0,4395.438293457031,227.0,39.071500574,2208.0,39.254920533,22820.0,cold-step0-step1-aff-mine,165.570680432,20612.0,1,18408.0,0.0,8.0,0.0,1.0,0,0,24346.0,2521.0,2521.0,2168.0,0.0,18.0,37.0,enforce,0.85,180698.0,56509.0,5377,4027,31010.0,10998.0,87070,15721,71349,847,847,599.0,1288809.0,True,1289.221336364746,0,2296.0,1,1,2521.0,2521.0,149,0,2168.0,1,16,0.020008586,4962,1841155.0,4.032363160016122e-06,0.020008586,1e-06,0,443,4962,2175,1732,0.026696385,139,False,False,31.59177653,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,139,23756.0,590.0,20,204.642187114,0.14471164804597633,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/a_dblp_union_width/w16777216/results.csv,2026-09-11T11:22:02
b,h1,1,pincminer,0,39.529776672,245.22998909999998,128.587065612,0.246821017,10.233749968,0.0,15.536262467,7.255804098,2.097152,1,,0.175031998,,,,18410.0,,,1288807.0,18.852158541999998,batch-cold-round-0,2024.6831512451172,226.0,45.972385744,2208.0,51.818341621,22820.0,cold-step0-step1-aff-mine,199.25759707,20612.0,1,18408.0,0.0,9.0,0.0,1.0,0,0,24346.0,2521.0,2521.0,2168.0,0.0,18.0,37.0,enforce,0.85,180698.0,56509.0,5377,4027,31010.0,10998.0,87070,15721,71349,847,847,463.0,1288809.0,True,492.0273666381836,0,2296.0,1,1,2521.0,2521.0,149,0,2168.0,1,16,0.025834152,4962,1841155.0,5.206399032648126e-06,0.025834152,1e-06,0,315,4962,2047,1732,0.022176884,139,False,False,41.443256783,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,139,23892.0,454.0,20,245.22998909999998,0.16119470875921513,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/b_dblp_union_depth/h1/results.csv,2026-09-11T11:22:02
b,h3,3,pincminer,0,35.832068573,222.004910638,113.315923645,0.297837292,7.217822884,0.0,14.956917222000001,7.2675272909999995,6.291456,1,,0.109006056,,,,18410.0,,,1288807.0,18.343725836,batch-cold-round-0,2050.84464263916,226.0,45.976573341,2208.0,44.368652546,22820.0,cold-step0-step1-aff-mine,176.02833244,20612.0,1,18408.0,0.0,9.0,0.0,1.0,0,0,24346.0,2521.0,2521.0,2168.0,0.0,18.0,37.0,enforce,0.85,180698.0,56509.0,5377,4027,31010.0,10998.0,87070,15721,71349,847,847,439.0,1288809.0,True,385.31658935546875,0,2296.0,1,1,2521.0,2521.0,149,0,2168.0,1,16,0.018400065,4962,1841155.0,3.708195284159613e-06,0.018400065,1e-06,0,296,4962,2028,1732,0.021643777,139,False,False,37.537515171,226.0,fine-tune,match,1270,226.0,e4469e83b0e154f2eb9d57d627e5d0c9ccb9aa0ef2a96612a768e96fbcddfde2,fe26a1c7d8c9ae9795b539090bce82362d2d6bc19db42c9dde493aa8ebf6e6bf,mix,139,23916.0,430.0,20,222.004910638,0.16140214407881984,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/b_dblp_union_depth/h3/results.csv,2026-09-11T11:22:02
b,h5,5,noaux,0,67.366719111,64.40856595300001,41.484291122,0.20293672199999999,0.0,21.087016702,1.224849298,7.7937389360000005,10.48576,1,,1.060537888,,,,13810.0,,,966759.0,4.15091909,batch-cold-round-0,10084.395812988281,85.0,9.892182910999999,524.0,8.881154581,6538.0,cold-step0-step1-aff-mine,54.516380418000004,6014.0,1,13809.0,0.0,12.0,0.0,0.0,60800,60800,60824.0,,,0.0,0.0,0.0,0.0,enforce,0.85,0.0,0.0,5377,367,7462.0,571.0,60449,60449,0,57475,57475,472.0,966760.0,True,7305.429443359375,0,427.0,1,1,,,460,0,0.0,0,0,0,0,1381085.0,0.00031520829893092107,19.164664575,1e-06,351,0,0,0,0,0.202905501,85,False,False,68.305036281,85.0,,,,,,,mix,85,60376.0,448.0,20,64.40856595300001,1.0459279462945752,f5_mcorr_v283,newmine,/home/mdk/incremental-rule-discovery/exp2026_v7/sweeps/f5_mcorr_v283/b_dblp_union_depth/h5/results.csv,2026-09-11T11:22:02
