experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.2,6512,2,1,add,0.01,4557,66,262144,20,1.0,38,1,1,38,0,0,0,88.47620391845703,0.017831822,0.009862457,0.00261132,7.43e-06,0.098288913,403669.8542167549,1.0512710963760241,0.146611499,38,24.498886108398438,20,0.000143293,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.4,13024,2,1,add,0.01,9116,131,262144,20,1.0,38,1,1,38,0,0,0,117.60948944091797,0.026641243,0.011828647,0.002693981,7.588e-06,0.172166787,1615159.0069565522,1.0512710963760241,0.237296815,38,62.47721862792969,20,0.000115078,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.6,19536,2,1,add,0.01,13674,196,262144,20,1.0,38,1,1,38,0,0,0,127.6104965209961,0.039860298,0.017642108,0.002786826,7.754e-06,0.283884019,3632043.986918804,1.0512710963760241,0.38054784,38,50.84027099609375,20,9.9974e-05,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.8,26048,2,1,add,0.01,18233,261,262144,20,1.0,38,1,1,38,0,0,0,136.5140609741211,0.041781897,0.019379777,0.003590322,9.623e-06,0.325290635,6458266.444488607,1.0512710963760241,0.487806572,38,40.410255432128906,20,0.000100618,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,add,0.01,22792,326,262144,20,1.0,38,1,1,38,0,0,0,153.13971710205078,0.048475226,0.02703506,0.002949388,6.692e-06,0.247145981,10088175.60577241,1.0512710963760241,0.565291335,38,144.6287841796875,20,0.000535868,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,add,0.01,22792,326,262144,20,1.0,38,1,1,38,0,0,0,152.97967529296875,0.038538664,0.0225874,0.001723859,5.448e-06,0.180407839,10088175.605772408,1.0512710963760241,0.46072151,38,92.87879943847656,20,0.000380084,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,add,0.05,22791,1629,262144,20,1.0,38,1,1,38,0,0,0,207.81224060058594,0.187058755,0.092026186,0.003199752,1.3653e-05,1.076502837,10088895.8661001,1.0512710963760241,0.545101776,38,165.7016372680664,20,0.000526653,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,add,0.15,22792,4884,262144,20,1.0,38,1,1,38,0,0,0,264.5486755371094,0.545622003,0.289941539,0.03366871,1.4695e-05,3.380454481,10089834.279125988,1.0512710963760241,0.629008732,38,91.76795959472656,20,7.1801e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,add,0.2,22792,6512,262144,20,1.0,38,1,1,38,0,0,0,245.21388244628906,0.771849062,0.43483761,0.00444423,1.5351e-05,4.861245683,10092507.143018998,1.0512710963760241,0.64141739,38,142.45550537109375,20,7.7528e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,add,0.3,22792,9769,262144,20,1.0,38,1,1,38,0,0,0,244.021484375,1.108588729,0.63712713,0.088796065,1.7477e-05,6.630349695,10089683.58723963,1.0512710963760241,0.719882648,38,279.0371780395508,20,0.00073984,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,delete,0.01,32561,326,262144,20,1.0,38,1,1,38,0,0,0,152.8436279296875,0.046267799,0.027652408,0.002809196,7.459e-06,0.226844492,20581302.09162414,1.0512710963760241,0.629088138,38,250.82115173339844,20,0.000467106,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,delete,0.1,32561,3257,262144,20,1.0,38,1,1,38,0,0,0,196.09051513671875,0.37248045,0.189878702,0.03307564,1.5225e-05,2.752839513,20581302.09162415,1.0512710963760241,0.690669201,38,102.03831481933594,20,7.8386e-05,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,delete,0.15,32561,4885,262144,20,1.0,38,1,1,38,0,0,0,219.35404205322266,0.522025073,0.271300109,0.00518884,1.4166e-05,3.509874592,20581302.091624144,1.0512710963760241,0.634012999,38,53.385520935058594,20,0.000100827,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,delete,0.2,32561,6513,262144,20,1.0,38,1,1,38,0,0,0,243.03558349609375,0.580845812,0.30665942,0.003385038,1.2642e-05,3.880812053,20581302.09162416,1.0512710963760241,0.530529903,38,52.83628845214844,20,5.7404e-05,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,2,1,delete,0.3,32561,9769,262144,20,1.0,38,1,1,38,0,0,0,244.43362426757812,1.023844826,0.533517985,0.119394902,1.9e-05,6.844990015,20581302.09162415,1.0512710963760241,0.554707021,38,210.31332397460938,20,0.000107776,0
