experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.2,11503,2,1,add,0.01,8051,116,262144,20,1.0,44,1.0,1.0,44,0,0,0,186.46481323242188,0.046876384,0.020358405,0.002860113,8.87e-06,0.352829922,1525504.7759669654,1.0512710963760241,0.62265975,44,78.91527557373047,20,0.000143211,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.4,23006,2,1,add,0.01,16103,231,262144,20,1.0,36,1.0,1.0,36,0,0,0,276.76756286621094,0.091747654,0.057574372,0.003619991,9.572e-06,0.420493831,6115846.680335708,1.0512710963760241,1.367880496,36,231.48666381835938,20,0.000132286,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.6,34509,2,1,add,0.01,24155,346,262144,20,1.0,36,1.0,1.0,36,0,0,0,376.29613494873047,0.148666081,0.076113383,0.002998567,1.0832e-05,1.087939869,13743743.538605481,1.0512710963760241,1.8302750909999999,36,303.0577621459961,20,0.000135924,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.8,46012,2,1,add,0.01,32207,461,262144,20,1.0,36,1.0,1.0,36,0,0,0,451.6643981933594,0.191332445,0.099771555,0.024264106,1.2991e-05,1.361865752,24389205.184028633,1.0512710963760241,2.396802205,36,390.94847106933594,20,0.000151614,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,add,0.01,40260,576,262144,20,1.0,36,1.0,1.0,36,0,0,0,469.56465911865234,0.19217313,0.104585049,0.008277039,9.584e-06,1.289100123,38123892.27646279,1.0512710963760241,2.841977144,36,491.09222412109375,20,9.8055e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,add,0.01,40260,576,262144,20,1.0,36,1.0,1.0,36,0,0,0,460.2494888305664,0.200301951,0.109772177,0.036056193,1.0437e-05,1.377949115,38123892.27646276,1.0512710963760241,2.9030091799999997,36,508.9593200683594,20,7.383e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,add,0.05,40261,2876,262144,20,1.0,36,1.0,1.0,36,0,0,0,548.7836608886719,1.098257159,0.581982651,0.006434671,1.8429e-05,7.973851105,38101150.56990443,1.0512710963760241,3.09838298,36,508.42530059814453,20,0.00015174,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,add,0.15,40260,8628,262144,20,1.0,36,1.0,1.0,36,0,0,0,701.9562454223633,2.901849447,1.630644704,0.031348427,1.9897e-05,19.558555157,38095174.43007732,1.0512710963760241,3.433985369,36,539.3166656494141,20,0.000143835,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,add,0.2,40260,11504,262144,20,1.0,36,1.0,1.0,36,0,0,0,989.913932800293,3.7804474260000003,2.087558906,0.124432332,1.7229e-05,26.052236607,38067566.93641853,1.0512710963760241,3.675836304,36,538.6016693115234,20,0.000215519,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,add,0.3,40261,17255,262144,20,1.0,36,1.0,0.9411764705882353,32,4,0,0,1093.3664779663086,5.2340882109999995,3.005569868,0.157535449,1.478e-05,33.274337189,38128373.08967071,1.0512710963760241,3.972272079,32,601.8778533935547,20,8.3515e-05,0
DELETE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,delete,0.01,57516,576,262144,20,1.0,32,1.0,1.0,32,0,0,0,460.24542236328125,0.218424918,0.113810016,0.005103064,9.348e-06,1.199128033,77804846.95666385,1.0512710963760241,3.756265281,32,622.0746459960938,20,0.00014416,0
DELETE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,delete,0.1,57516,5752,262144,20,1.0,32,0.8888888888888888,0.9411764705882353,32,0,4,0,557.1576690673828,1.813246775,0.974215633,0.025937842,1.526e-05,12.313417382,77804846.95666386,1.0512710963760241,3.415967453,36,654.8848571777344,20,9.9095e-05,0
DELETE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,delete,0.15,57516,8628,262144,20,1.0,32,0.8888888888888888,0.9411764705882353,32,0,4,0,672.1681442260742,2.786458852,1.498128703,0.11980222,1.6634e-05,19.968743048,77804846.95666386,1.0512710963760241,3.567843762,36,688.6111602783203,20,0.000198462,0
DELETE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,delete,0.2,57516,11504,262144,20,1.0,32,0.8888888888888888,0.9411764705882353,32,0,4,0,677.4615631103516,3.832017272,2.013102161,0.013931398,1.5687e-05,27.456294992,77804846.95666383,1.0512710963760241,3.163289881,36,596.19140625,20,0.000249661,0
DELETE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,2,1,delete,0.3,57516,17255,262144,20,1.0,32,0.8888888888888888,0.9411764705882353,32,0,4,0,1024.350196838379,5.348369439,2.802719503,0.085460232,1.5758e-05,38.287189315,77804846.95666386,1.0512710963760241,2.8262004899999997,36,579.6267395019531,20,9.2556e-05,0
