experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.2,6512,30,1,add,0.01,4557,66,262144,20,1,10,0.375,0.5454545454545454,3,0,5,0,952.119026184082,14.575913349,0.231353377,19.076158712,3.391e-06,149.793870637,477705.0256778482,1.0512710963760241,14.696459013,8,766.7455062866211,7,0.001297232,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.4,13024,30,1,add,0.01,9116,131,262144,20,1,9,1.0,1.0,2,0,0,0,3951.140022277832,35.276642064,0.541292474,21.384366371,5.1e-06,368.234616673,1904425.7399457921,1.0512710963760241,32.94070775,2,2067.176055908203,7,0.001171997,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.6,19536,30,1,add,0.01,13674,196,262144,20,1,8,1.0,1.0,2,0,0,0,1784.9641342163086,55.002032961,0.72246807,25.751208935,5.786e-06,590.498432856,4291091.777701058,1.0512710963760241,67.274755397,2,2107.7073364257812,7,0.00130871,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,0.8,26048,30,1,add,0.01,18233,261,262144,20,1,8,1.0,1.0,2,0,0,0,2081.4980392456055,76.337734348,0.855371241,30.603549244,5.071e-06,854.477726697,7650530.293742547,1.0512710963760241,111.781492105,2,2186.4817428588867,7,0.001477088,0
SCALE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,add,0.01,22792,326,262144,20,1,6,1.0,1.0,2,0,0,0,2415.036376953125,138.490623433,1.797892857,52.567294345,4.785e-06,1585.737656212,11909277.187439112,1.0512710963760241,176.170612789,2,2592.6036376953125,7,0.004325749,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,add,0.01,22792,326,262144,20,1,9,1.0,1.0,2,0,0,0,1843.1277542114258,137.758047474,1.710253085,48.93579813,4.499e-06,1580.574653902,11909277.187438987,1.0512710963760241,173.599074163,2,3205.704086303711,7,0.00127546,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,add,0.05,22791,1629,262144,20,1,10,1.0,1.0,2,0,0,0,2724.7989501953125,130.542368821,2.876114117,177.308210076,6.183e-06,1456.623501861,11914748.574920114,1.0512710963760241,195.706082408,2,3701.099678039551,7,0.007661936,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,add,0.15,22792,4884,262144,20,1,8,1.0,1.0,2,0,0,0,2412.647018432617,249.623066447,9.713140299,617.01934315,6.208e-06,2666.152726186,11927043.010519793,1.0512710963760241,261.582726363,2,3271.740898132324,7,0.000885796,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,add,0.2,22792,6512,262144,20,1,8,1.0,1.0,2,0,0,0,3440.423973083496,304.942882998,14.418716365,805.089996675,6.355e-06,3269.712183597,11929833.083430717,1.0512710963760241,295.329352036,2,3334.2702865600586,7,0.001037325,0
ADD,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,add,0.3,22792,9769,262144,20,1,9,1.0,1.0,2,0,0,0,8242.488174438477,435.68544419,25.885797587,1721.051409197,6.208e-06,4711.902133315,11912710.609546244,1.0512710963760241,364.526081905,2,4694.017227172852,7,0.001041883,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,delete,0.01,32561,326,262144,20,1,12,1.0,1.0,2,0,0,0,3305.8225021362305,191.651713827,0.88116184,27.260354724,4.394e-06,2562.23731868,24331919.663607705,1.0512710963760241,355.091419716,2,2637.146827697754,7,0.001697951,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,delete,0.1,32561,3257,262144,20,1,9,1.0,1.0,2,0,0,0,4280.1500244140625,224.047679507,5.744184757,435.127203515,8.84e-06,2491.217786047,24331919.663608085,1.0512710963760241,293.92189963,2,2817.1016159057617,7,0.00174439,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,delete,0.15,32561,4885,262144,20,1,9,1.0,1.0,2,0,0,0,3695.5410385131836,256.083188177,9.800570351,516.658477611,5.278e-06,2784.032020253,24331919.663607936,1.0512710963760241,259.479052497,2,2737.9853286743164,7,0.001635277,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,delete,0.2,32561,6513,262144,20,1,9,1.0,1.0,2,0,0,0,3178.384536743164,311.368419339,14.733534065,901.815199891,1.1025e-05,3334.056052505,24331919.663607825,1.0512710963760241,221.222566049,2,2644.6558532714844,7,0.000914859,0
DELETE,/pv32/incremental-rule-discovery/datasets/adult.csv,32561,15,1.0,32561,30,1,delete,0.3,32561,9769,262144,20,1,8,1.0,1.0,2,0,0,0,3136.5718688964844,414.730396835,26.161965798,2182.284981989,6.449e-06,4418.297970475,24331919.663608193,1.0512710963760241,171.887130375,2,2881.01798248291,7,0.001039799,0
