experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s,inc_decision_tree_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.2,11503,30,1,add,0.01,8051,116,262144,20,1,16,1.0,1.0,29,0,0,0,1143.858055114746,1.631487482,0.021735311,0.743934615,3.189e-06,16.028135658,843524.5278732163,1.0512710963760241,2.419328955,29,121.05136108398438,7,8.5683e-05,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.4,23006,30,1,add,0.01,16103,231,262144,20,1,11,1.0,1.0,21,0,0,0,1861.1284103393555,4.137578059,0.06890659,0.482038544,4.151e-06,41.990633019,3387310.5191404847,1.0512710963760241,7.800263054,21,727.7698822021484,7,6.3567e-05,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.6,34509,30,1,add,0.01,24155,346,262144,20,1,8,1.0,1.0,15,0,0,0,3126.733741760254,8.102530217,0.119138588,0.862396363,3.191e-06,78.721500171,7620911.282470429,1.0512710963760241,14.021611544,15,1013.095588684082,7,9.6331e-05,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.8,46012,30,1,add,0.01,32207,461,262144,20,1,7,1.0,1.0,13,0,0,0,3391.16650390625,13.533801582,0.190278351,0.865928367,3.704e-06,133.711661851,13537589.386133786,1.0512710963760241,22.299925063,13,1294.2665786743164,7,8.8176e-05,0
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,30,1,add,0.01,40260,576,262144,20,1,8,1.0,0.962962962962963,13,1,0,0,4987.413246154785,20.749291717,0.261493978,0.907502327,4.27e-06,192.180448901,21148578.885410927,1.0512710963760241,31.801908752,13,2293.102928161621,7,4.7532e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,30,1,add,0.01,40260,576,262144,20,1,8,1.0,0.962962962962963,13,1,0,0,4510.607383728027,21.297310288,0.245526697,0.611134156,4.227e-06,189.704889746,21148578.885410927,1.0512710963760241,31.945177417,13,2112.886817932129,7,5.8011e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,30,1,add,0.05,40261,2876,262144,20,1,7,1.0,1.0,13,0,0,0,4202.069633483887,13.0903331,1.122168569,0.8632845,4.617e-06,151.069870679,21134838.573225897,1.0512710963760241,35.115602634,13,1874.3361740112305,7,6.2533e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,30,1,add,0.15,40260,8628,262144,20,1,7,1.0,1.0,13,0,0,0,4828.718185424805,24.918102499,2.966250191,84.323514101,5.761e-06,277.56732656,21142659.529425427,1.0512710963760241,44.00103306,13,2328.43709564209,7,4.1357e-05,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,30,1,add,0.2,40260,11504,262144,20,1,7,1.0,1.0,13,0,0,0,3080.0129776000977,31.944017358,4.692713007,25.113650125,6.219e-06,372.340261297,21134552.618355323,1.0512710963760241,48.013411592,13,2696.789482116699,7,0.000172267,0
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1.0,57516,30,1,add,0.3,40261,17255,262144,20,1,7,1.0,0.9565217391304348,11,1,0,0,4294.1906661987305,47.109167638,9.395296057,2.136056455,7.043e-06,549.650296393,21151079.8716115,1.0512710963760241,59.51915819,11,3222.5564727783203,7,8.763e-05,0
